,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,T_dis_es,T_dis_delay,T_diff
2023-04-03 12:56:29.360,2433.753955078125,458.38478393554686,4016.400146484375,-10.800000190734863,3600,0.8,70.5999984741211,5.4693989753723145,14,726,3,0,0,8.982046127319336,225.30577087402344,0,1,0.2475151525,8.734530974819336,81.35689363329645,81.35689363329645,10.756895159175357
2023-04-03 12:56:31.377,2429.55888671875,456.5599853515625,4025.3997802734375,-10.699999809265137,3600,0.8,70.5,5.6788010597229,14,729,3,0,0,8.973193168640137,225.33909606933594,2,1,0.2485433263,8.724649842340137,81.59834610019207,81.36167471247434,10.86167471247434
2023-04-03 12:56:33.379,2428.16044921875,455.34340209960936,4019.399871826172,-10.5,3600,0.8,70.5,5.952349662780762,14,732,3,0,0,8.946632385253906,225.37242126464844,4,1,0.24957553609999997,8.697056849153906,81.9213844745982,81.37275770832755,10.872757708327555
2023-04-03 12:56:35.378,2425.363818359375,453.518603515625,4024.8001098632812,-10.300000190734863,3600,0.8,70.5999984741211,6.262666702270508,14,732,3,0,0,8.964339256286621,225.40574645996094,6,1,0.24957553609999997,8.714763720186621,82.30454761883409,81.39120838475496,10.791209910633867
2023-04-03 12:56:37.393,2423.965625,452.30198974609374,4022.4000549316406,-10.199999809265137,3600,0.8,70.5,6.436217784881592,14,726,3,0,0,8.955486297607422,225.43907165527344,8,1,0.2475151525,8.707971145107422,82.53676229235568,81.41389187192408,10.91389187192408
2023-04-03 12:56:39.396,2421.16875,451.6938049316406,4019.399871826172,-9.899999618530273,3600,0.8,70.5,6.772985458374023,14,731,3,0,0,8.920071601867676,225.47239685058594,10,1,0.2492354883,8.670836113567676,82.8341153612404,81.44201418121345,10.942014181213452
2023-04-03 12:56:41.412,2421.16875,449.8689453125,4018.2000732421875,-9.800000190734863,3600,0.8,70.5,6.983307361602783,14,729,3,0,0,8.911218643188477,225.50572204589844,12,1,0.2485433263,8.662675316888476,83.20408509953383,81.47690552312378,10.976905523123776
2023-04-03 12:56:47.476,2418.372119140625,449.2606689453125,4020.600128173828,-9.199999809265137,3600,0.8,70.5,7.620082378387451,14,728,3,0,0,8.902365684509277,225.60569763183594,18,1,0.2481992633,8.654166421209277,83.80899745737077,81.61271598463907,11.112715984639067
2023-04-03 12:56:49.494,2416.97392578125,449.2606689453125,4020.600128173828,-9.100000381469727,3600,0.8,70.5,7.720081329345703,14,729,3,0,0,8.902365684509277,225.63902282714844,20,1,0.2485433263,8.653822358209277,83.8655227720417,81.65732454781319,11.15732454781319
2023-04-03 12:56:51.510,2415.57548828125,449.2606689453125,4018.8002014160156,-8.899999618530273,3600,0.8,70.5,7.9200825691223145,14,728,3,0,0,8.902365684509277,225.67234802246094,22,1,0.2481992633,8.654166421209277,84.01999600031492,81.70410857711298,11.204108577112976
2023-04-03 12:56:55.256,2415.57548828125,449.8689453125,4018.8002014160156,-8.600000381469727,3600,0.8,70.5,8.183306694030762,14,730,3,0,0,8.902365684509277,225.73899841308594,25,1,0.2488914253,8.653474259209277,84.22781979578953,81.77869551565861,11.278695515658612
2023-04-03 12:56:57.288,2415.57548828125,450.4772216796875,4021.7999267578125,-8.399999618530273,3600,0.8,70.4000015258789,8.346535682678223,14,734,3,0,0,8.902365684509277,225.77232360839844,27,1,0.2502676981,8.652097986409277,84.3391514177007,81.82939593945859,11.429394413579686
2023-04-03 12:56:59.289,2414.17705078125,451.6938049316406,4018.8002014160156,-8.199999809265137,3600,0.8,70.4000015258789,8.47298526763916,15,722,3,0,0,8.893511772155762,225.80564880371094,29,1,0.2461388797,8.647372892455762,84.3089351626849,81.8784941056664,11.478492579787499
2023-04-03 12:57:03.820,2414.17705078125,454.7351867675781,4021.1997985839844,-7.899999618530273,3600,0.8,70.5999984741211,8.589119911193848,15,727,3,0,0,8.893511772155762,225.8889617919922,34,1,0.24785921549999998,8.645652556655762,84.15553361311204,81.98954663287914,11.389548158758046
2023-04-03 12:57:05.820,2412.778857421875,455.951708984375,4017.5999450683594,-7.700000286102295,3600,0.8,70.5,8.71557331085205,15,733,3,0,0,8.928925514221191,225.9222869873047,36,1,0.24991959909999997,8.679005915121191,84.12707194062024,82.0318724698128,11.531872469812797
2023-04-03 12:57:07.836,2414.17705078125,457.7765686035156,4018.8002014160156,-7.600000381469727,3600,0.8,70.5999984741211,8.705586433410645,15,729,3,0,0,8.920071601867676,225.9556121826172,38,1,0.2485433263,8.671528275567676,84.00132355335128,82.07087021412431,11.470871740003219
2023-04-03 12:57:09.853,2414.17705078125,460.2096435546875,4019.399871826172,-7.399999618530273,3600,0.8,70.5999984741211,8.760825157165527,15,725,3,0,0,8.928925514221191,225.9889373779297,40,1,0.2471670535,8.681758460721191,83.84409094018918,82.10598233702035,11.505983862899257
2023-04-03 12:57:11.870,2414.17705078125,463.251025390625,4021.1997985839844,-7.399999618530273,3600,0.8,70.5999984741211,8.579870223999023,15,727,3,0,0,8.964339256286621,226.0222625732422,42,1,0.24785921549999998,8.716480040786621,83.40532759678288,82.13171109699623,11.531712622875133
2023-04-03 12:57:13.869,2414.17705078125,465.0758850097656,4023.0001831054688,-7.1999993324279785,3600,0.8,70.5999984741211,8.671296119689941,16,728,3,0,0,8.955486297607422,226.0555877685547,44,1,0.2481992633,8.707287034307422,83.3431239311651,82.155698678286,11.555700204164907
2023-04-03 12:57:16.495,2416.97392578125,466.90074462890624,4014.6002197265625,-7.100000381469727,3600,0.8,70.69999694824219,8.662721633911133,16,728,3,0,0,8.964339256286621,226.0889129638672,47,1,0.2481992633,8.716139992986621,83.25833527306898,82.1882865145347,11.488289566292508
2023-04-03 12:57:19.264,2418.372119140625,470.55031127929686,4021.7999267578125,-6.900000095367432,3600,0.8,70.80000305175781,8.648846626281738,16,739,3,0,0,9.017459869384766,226.13890075683594,49,1,0.2519880339,8.765471835484766,82.99071456905261,82.20417565459003,11.404172602832219
2023-04-03 12:57:21.262,2416.97392578125,472.983447265625,4020.600128173828,-6.799999713897705,3600,0.8,70.69999694824219,8.606365203857422,16,728,3,0,0,8.990900039672852,226.17222595214844,51,1,0.2481992633,8.742700776372851,82.70619000362606,82.21411620471999,11.514119256477798
2023-04-03 12:57:28.323,2419.77080078125,482.1075927734375,4016.9998168945312,-6.500000476837158,3600,0.8,70.89999389648438,8.376876831054688,17,733,3,0,0,9.052873611450195,226.2888641357422,58,1,0.24991959909999997,8.802954012350195,81.83806483053995,82.18869280779255,11.288698911308174
2023-04-03 12:57:31.859,2423.965625,486.97377319335936,4019.399871826172,-6.300000190734863,3600,0.8,71.0,8.29651927947998,17,731,3,0,0,9.09714126586914,226.3555145263672,62,1,0.2492354883,8.84790577756914,81.51564099271023,82.16230206864363,11.162302068643626
2023-04-03 12:57:33.889,2423.965625,488.7986328125,4018.8002014160156,-6.199999809265137,3600,0.8,70.89999389648438,8.292970657348633,17,730,3,0,0,9.079434394836426,226.3888397216797,64,1,0.2488914253,8.830542969536426,81.37292731776087,82.146671401318,11.246677504833627
2023-04-03 12:57:35.910,2423.965625,490.6234924316406,4021.7999267578125,-6.199999809265137,3600,0.8,71.0999984741211,8.189421653747559,17,734,3,0,0,9.10599422454834,226.4221649169922,66,1,0.2502676981,8.85572652644834,81.13903957176602,82.12671895427454,11.026720480153443
2023-04-03 12:57:37.913,2426.762255859375,494.2731506347656,4022.4000549316406,-6.099999904632568,3600,0.8,71.19999694824219,8.08232593536377,17,734,3,0,0,9.13255500793457,226.4554901123047,68,1,0.2502676981,8.88228730983457,80.85019871602492,82.10144216000641,10.901445211764226
2023-04-03 12:57:41.860,2429.55888671875,499.747607421875,4021.7999267578125,-5.999999523162842,3600,0.8,71.30000305175781,7.874161243438721,17,731,3,0,0,9.159114837646484,226.5221405029297,72,1,0.2492354883,8.909879349346484,80.33718206494947,82.03226453219806,10.732261480440243
2023-04-03 12:57:43.880,2430.95732421875,502.7889892578125,4016.9998168945312,-5.90000057220459,3600,0.8,71.30000305175781,7.804271697998047,17,732,3,0,0,9.159114837646484,226.5554656982422,74,1,0.24957553609999997,8.909539301546484,80.09134643532863,81.99383177887711,10.693828727119296
2023-04-03 12:57:47.674,2435.151904296875,506.4386474609375,4018.8002014160156,-5.90000057220459,3600,0.8,71.30000305175781,7.600406169891357,17,735,3,0,0,9.19452953338623,226.60545349121094,78,1,0.2506117611,8.94391777228623,79.76893913608795,81.90659249052747,10.60658943876966
2023-04-03 12:57:52.999,2439.347216796875,513.7379333496094,4016.9998168945312,-5.90000057220459,3600,0.8,71.5,7.198292255401611,18,735,3,0,0,9.22994327545166,226.70542907714844,83,1,0.2506117611,8.97933151435166,79.01353140089256,81.76549623623139,10.265496236231385
