,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,T_dis_es,T_dis_delay,T_diff
2023-04-09 09:05:00.306,1878.614306640625,1750.9720947265625,0.0,32.900001525878906,3600,0.8,38.79999923706055,5.694889545440674,0,0,10,9,0,0.0,0.0,0,2,-0.0022823862999999996,0.0022823862999999996,40.35751438434791,40.35751438434791,1.5575151472873614
2023-04-09 09:05:02.960,1857.6393310546875,1764.3541748046875,0.0,32.900001525878906,3600,0.8,38.79999923706055,5.404870986938477,17,365,10,9,0,0.0,0.0,2,2,0.12330250150000001,-0.12330250150000001,39.38540709954574,40.347841755250485,1.5478425181899382
2023-04-09 09:05:04.956,1833.8676025390625,1770.4369384765625,0.0,33.0,3600,0.8,38.900001525878906,5.373505592346191,32,497,10,9,0,0.0,0.0,4,2,0.16871950389999998,-0.16871950389999998,38.65579282908215,40.33100558713057,1.431004061251663
2023-04-09 09:05:06.980,1815.6892578125,1771.04521484375,0.0,33.0,3600,0.8,38.79999923706055,5.360365867614746,32,519,10,9,0,0.0,0.0,6,2,0.17629302989999998,-0.17629302989999998,38.13715108403425,40.309176370094626,1.509177133034079
2023-04-09 09:05:08.977,1801.7059814453125,1769.828662109375,0.0,33.0,3600,0.8,38.79999923706055,5.386640548706055,32,518,10,9,0,0.0,0.0,8,2,0.17594896689999998,-0.17594896689999998,37.78716385467482,40.28408192627952,1.4840826892189725
2023-04-09 09:05:10.995,1790.5193359375,1768.0038330078125,0.0,33.0,3600,0.8,38.79999923706055,5.426050662994385,32,519,10,9,0,0.0,0.0,10,2,0.17629302989999998,-0.17629302989999998,37.53182029402795,40.25669646547283,1.4566972284122812
2023-04-09 09:05:12.994,1782.128955078125,1767.395556640625,0.0,33.099998474121094,3600,0.8,38.79999923706055,5.539182186126709,32,516,10,10,0,0.0,0.0,12,2,0.1752568049,-0.1752568049,37.42170527667266,40.22848783182462,1.428488594764076
2023-04-09 09:05:14.993,1775.1373779296875,1766.78740234375,0.0,33.099998474121094,3600,0.8,38.79999923706055,5.552317142486572,32,735,10,10,0,0.0,0.0,14,2,0.2506117611,-0.2506117611,37.24536208294198,40.1988052346761,1.398805997615554
2023-04-09 09:05:16.004,1773.7390625,1765.57060546875,0.0,33.099998474121094,3600,0.8,38.79999923706055,5.578596115112305,32,808,10,10,0,0.0,0.0,15,2,0.27572471930000003,-0.27572471930000003,37.24304767971063,40.18406333236933,1.38406409530878
2023-04-09 09:05:18.022,1769.54423828125,1764.3541748046875,0.0,33.20000076293945,3600,0.8,38.79999923706055,5.70487117767334,32,618,10,10,0,0.0,0.0,17,2,0.21035578689999998,-0.21035578689999998,37.26776378416333,40.15504566702745,1.3550464299669045
2023-04-09 09:05:20.022,1924.759326171875,1670.6794921875,1229.3999862670898,33.20000076293945,3600,0.8,38.79999923706055,7.7729926109313965,32,728,10,11,0,0.0,0.01666666753590107,19,0,0.2481992633,-0.2481992633,44.0501968811136,40.18092697490514,1.380927737844594
2023-04-09 09:05:22.033,2065.9913818359373,1624.4506103515625,1311.6000366210938,33.20000076293945,3600,0.8,38.79999923706055,8.825666427612305,32,691,3,0,0,0.0,0.05000000074505806,21,0,0.2354727603,-0.2354727603,48.9812819682261,40.23940087861174,1.4394016415511928
2023-04-09 09:05:24.040,2179.256640625,1592.211962890625,1399.1999816894531,33.20000076293945,3600,0.8,38.70000076293945,9.574004173278809,32,714,3,0,0,0.0,0.0833333358168602,23,0,0.2433863341,-0.2433863341,52.69676680473398,40.32217376858661,1.6221730056471557
2023-04-09 09:05:26.049,2285.530322265625,1516.7858154296875,1474.7999954223633,32.900001525878906,3600,0.8,38.79999923706055,11.069149017333984,32,694,3,0,0,0.0,0.11666666716337204,25,0,0.2365049701,-0.2365049701,57.20318352223556,40.43433953230343,1.634340295242886
