Ps,I_test,CompSpeed,P_dis_es,P_dis
864.362366,0.002282,0.000000,1010.515808,523.650024
864.362366,0.002282,0.000000,1010.515808,523.650024
864.362366,0.002282,0.000000,1010.515808,523.650024
864.362366,0.002282,0.000000,1010.515808,523.650024
863.754028,0.002282,0.000000,1009.966492,523.650024
863.754028,0.002282,0.000000,1009.966492,523.650024
863.754028,0.002282,0.000000,1009.966492,523.650024
863.754028,0.002282,0.000000,1009.966492,523.650024
863.754028,0.002282,0.000000,1009.966492,523.650024
863.145691,0.002282,0.000000,1009.417175,523.650024
862.537476,0.002282,0.000000,1008.867859,523.650024
863.145691,0.002282,0.000000,1009.417175,523.650024
862.537476,0.002282,0.000000,1008.867859,523.650024
862.537476,0.002282,0.000000,1008.867859,523.650024
861.929199,0.002282,0.000000,1007.769226,523.650024
861.929199,0.002282,0.000000,1007.769226,523.650024
861.929199,0.002282,0.000000,1007.769226,523.650024
861.929199,0.002282,0.000000,1007.769226,523.650024
860.712646,-0.103691,0.000000,-1.324996,-1.345995
860.712646,-0.086835,0.000000,-1.324996,-1.345995
859.496094,-0.131908,0.000000,-1.324996,-1.345995
859.496094,-0.162186,0.000000,-1.324996,-1.345995
859.496094,-0.178353,0.000000,-1.324996,-1.345995
860.104309,-0.175949,0.000000,-1.324996,-1.345995
860.712646,-0.244415,0.000000,-1.324996,-1.345995
860.104309,-0.235473,0.000000,-1.324996,-1.345995
842.464355,-0.241318,1071.000000,-1.324996,-1.345995
851.588501,-0.239942,1280.400024,-1.324996,-1.345995
834.556702,-0.196937,1363.799927,-1.324996,-1.345995
678.838013,-0.251644,1437.000000,-1.324996,-1.345995
593.679382,-0.234781,1529.400024,-1.324996,-1.345995
844.289185,-0.202098,1602.599976,-1.324996,-1.345995
819.958191,-0.251988,1689.000000,-1.324996,-1.345995
805.359497,-0.231000,1773.599976,-1.324996,-1.345995
796.235352,-0.258177,1836.600098,-1.324996,-1.345995
788.936035,-0.191432,1921.799927,-1.324996,-1.345995
779.811890,-0.249920,2005.199951,-1.324996,-1.345995
773.120850,-0.232376,2088.000000,-1.324996,-1.345995
766.429810,-0.246139,2174.400146,-1.324996,-1.345995
764.604919,-0.237189,2255.399902,-1.324996,-1.345995
757.913940,-0.201066,2340.000000,-1.324996,-1.345995
751.222839,-0.250952,2392.199951,-1.324996,-1.345995
747.573242,-0.234781,2394.600098,-1.324996,-1.345995
741.490479,-0.245447,2397.599854,-1.324996,-1.345995
734.191101,-0.236505,2398.800049,-1.324996,-1.345995
727.500122,-0.181798,2395.800049,-1.324996,-1.345995
718.984253,-0.252672,2395.199951,-1.324996,-1.345995
712.901489,-0.192116,2395.800049,-1.324996,-1.345995
705.602112,-0.257833,2403.000000,-1.324996,-1.345995
696.478027,-0.191772,2398.200195,-1.324996,-1.345995
