,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,P_dis_es,P_diff
2023-04-03 12:56:29.360,2332.428955078125,357.0597839355469,4016.400146484375,-10.800000190734863,3600,0.8,70.5999984741211,5.4693989753723145,14,726,3,0,0,8.982046127319336,225.30577087402344,0,1,0.2475151525,8.734530974819336,2472.24677734375,139.81782226562518
2023-04-03 12:56:31.377,2328.23388671875,355.2349853515625,4025.3997802734375,-10.699999809265137,3600,0.8,70.5,5.6788010597229,14,729,3,0,0,8.973193168640137,225.33909606933594,2,1,0.2485433263,8.724649842340137,2465.1056640625,136.87177734375018
2023-04-03 12:56:33.379,2326.83544921875,354.0184020996094,4019.399871826172,-10.5,3600,0.8,70.5,5.952349662780762,14,732,3,0,0,8.946632385253906,225.37242126464844,4,1,0.24957553609999997,8.697056849153906,2462.9083984375,136.07294921875018
2023-04-03 12:56:35.378,2324.038818359375,352.193603515625,4024.8001098632812,-10.300000190734863,3600,0.8,70.5999984741211,6.262666702270508,14,732,3,0,0,8.964339256286621,225.40574645996094,6,1,0.24957553609999997,8.714763720186621,2468.4015625,144.36274414062518
2023-04-03 12:56:37.393,2322.640625,350.97698974609375,4022.4000549316406,-10.199999809265137,3600,0.8,70.5,6.436217784881592,14,726,3,0,0,8.955486297607422,225.43907165527344,8,1,0.2475151525,8.707971145107422,2470.598828125,147.95820312500018
2023-04-03 12:56:39.396,2319.84375,350.3688049316406,4019.399871826172,-9.899999618530273,3600,0.8,70.5,6.772985458374023,14,731,3,0,0,8.920071601867676,225.47239685058594,10,1,0.2492354883,8.670836113567676,2460.7111328125,140.86738281250018
2023-04-03 12:56:41.412,2319.84375,348.5439453125,4018.2000732421875,-9.800000190734863,3600,0.8,70.5,6.983307361602783,14,729,3,0,0,8.911218643188477,225.50572204589844,12,1,0.2485433263,8.662675316888476,2462.9083984375,143.06464843750018
2023-04-03 12:56:47.476,2317.047119140625,347.9356689453125,4020.600128173828,-9.199999809265137,3600,0.8,70.5,7.620082378387451,14,728,3,0,0,8.902365684509277,225.60569763183594,18,1,0.2481992633,8.654166421209277,2459.6125,142.56538085937518
2023-04-03 12:56:49.494,2315.64892578125,347.9356689453125,4020.600128173828,-9.100000381469727,3600,0.8,70.5,7.720081329345703,14,729,3,0,0,8.902365684509277,225.63902282714844,20,1,0.2485433263,8.653822358209277,2459.06318359375,143.41425781250018
2023-04-03 12:56:51.510,2314.25048828125,347.9356689453125,4018.8002014160156,-8.899999618530273,3600,0.8,70.5,7.9200825691223145,14,728,3,0,0,8.902365684509277,225.67234802246094,22,1,0.2481992633,8.654166421209277,2460.7111328125,146.46064453125018
2023-04-03 12:56:55.256,2314.25048828125,348.5439453125,4018.8002014160156,-8.600000381469727,3600,0.8,70.5,8.183306694030762,14,730,3,0,0,8.902365684509277,225.73899841308594,25,1,0.2488914253,8.653474259209277,2459.06318359375,144.81269531250018
2023-04-03 12:56:57.288,2314.25048828125,349.1522216796875,4021.7999267578125,-8.399999618530273,3600,0.8,70.4000015258789,8.346535682678223,14,734,3,0,0,8.902365684509277,225.77232360839844,27,1,0.2502676981,8.652097986409277,2454.66865234375,140.41816406250018
2023-04-03 12:56:59.289,2312.85205078125,350.3688049316406,4018.8002014160156,-8.199999809265137,3600,0.8,70.4000015258789,8.47298526763916,15,722,3,0,0,8.893511772155762,225.80564880371094,29,1,0.2461388797,8.647372892455762,2453.020703125,140.16865234375018
2023-04-03 12:57:03.820,2312.85205078125,353.4101867675781,4021.1997985839844,-7.899999618530273,3600,0.8,70.5999984741211,8.589119911193848,15,727,3,0,0,8.893511772155762,225.8889617919922,34,1,0.24785921549999998,8.645652556655762,2443.1330078125,130.28095703125018
2023-04-03 12:57:05.820,2311.453857421875,354.626708984375,4017.5999450683594,-7.700000286102295,3600,0.8,70.5,8.71557331085205,15,733,3,0,0,8.928925514221191,225.9222869873047,36,1,0.24991959909999997,8.679005915121191,2456.3166015625,144.86274414062518
2023-04-03 12:57:07.836,2312.85205078125,356.4515686035156,4018.8002014160156,-7.600000381469727,3600,0.8,70.5999984741211,8.705586433410645,15,729,3,0,0,8.920071601867676,225.9556121826172,38,1,0.2485433263,8.671528275567676,2448.626171875,135.77412109375018
2023-04-03 12:57:09.853,2312.85205078125,358.8846435546875,4019.399871826172,-7.399999618530273,3600,0.8,70.5999984741211,8.760825157165527,15,725,3,0,0,8.928925514221191,225.9889373779297,40,1,0.2471670535,8.681758460721191,2446.42890625,133.57685546875018
2023-04-03 12:57:11.870,2312.85205078125,361.926025390625,4021.1997985839844,-7.399999618530273,3600,0.8,70.5999984741211,8.579870223999023,15,727,3,0,0,8.964339256286621,226.0222625732422,42,1,0.24785921549999998,8.716480040786621,2450.8234375,137.97138671875018
2023-04-03 12:57:13.869,2312.85205078125,363.7508850097656,4023.0001831054688,-7.1999993324279785,3600,0.8,70.5999984741211,8.671296119689941,16,728,3,0,0,8.955486297607422,226.0555877685547,44,1,0.2481992633,8.707287034307422,2442.58369140625,129.73164062500018
2023-04-03 12:57:16.495,2315.64892578125,365.57574462890625,4014.6002197265625,-7.100000381469727,3600,0.8,70.69999694824219,8.662721633911133,16,728,3,0,0,8.964339256286621,226.0889129638672,47,1,0.2481992633,8.716139992986621,2449.17548828125,133.52656250000018
2023-04-03 12:57:19.264,2317.047119140625,369.2253112792969,4021.7999267578125,-6.900000095367432,3600,0.8,70.80000305175781,8.648846626281738,16,739,3,0,0,9.017459869384766,226.13890075683594,49,1,0.2519880339,8.765471835484766,2453.020703125,135.97358398437518
2023-04-03 12:57:21.262,2315.64892578125,371.658447265625,4020.600128173828,-6.799999713897705,3600,0.8,70.69999694824219,8.606365203857422,16,728,3,0,0,8.990900039672852,226.17222595214844,51,1,0.2481992633,8.742700776372851,2441.48505859375,125.83613281250018
2023-04-03 12:57:28.323,2318.44580078125,380.7825927734375,4016.9998168945312,-6.500000476837158,3600,0.8,70.89999389648438,8.376876831054688,17,733,3,0,0,9.052873611450195,226.2888641357422,58,1,0.24991959909999997,8.802954012350195,2448.626171875,130.18037109375018
2023-04-03 12:57:31.859,2322.640625,385.6487731933594,4019.399871826172,-6.300000190734863,3600,0.8,71.0,8.29651927947998,17,731,3,0,0,9.09714126586914,226.3555145263672,62,1,0.2492354883,8.84790577756914,2453.020703125,130.38007812500018
