Ps,I_test,CompSpeed,P_dis_es,P_dis
763.388367,14.106318,4197.600098,3467.608154,3468.571777
763.996704,14.122305,4198.200195,3470.904053,3468.571777
765.821594,14.122401,4203.000000,3464.312256,3464.470215
766.429810,14.124373,4205.399902,3462.114990,3460.368652
762.171875,14.122305,4191.000000,3480.242432,3480.876465
763.996704,14.113111,4198.800293,3467.608154,3468.571777
764.604919,14.096088,4198.800293,3462.114990,3460.368652
762.171875,14.085515,4200.000000,3459.917725,3460.368652
760.955322,14.075033,4194.000000,3464.312256,3464.470215
758.522156,14.052170,4201.199707,3452.227295,3452.165527
760.346985,14.043316,4196.400391,3453.325928,3452.165527
759.738831,14.055951,4197.600098,3456.072510,3456.267090
759.130493,14.039275,4198.200195,3451.128662,3452.165527
758.522156,14.035147,4203.000000,3445.635498,3443.962402
759.738831,14.030422,4201.199707,3445.086182,3443.962402
756.089111,13.990195,4202.399902,3435.747803,3435.759277
754.264221,13.986499,4197.600098,3441.240967,3439.860840
755.480774,13.999733,4195.799805,3445.635498,3443.962402
757.913940,13.989847,4198.800293,3437.395752,3435.759277
758.522156,13.999393,4194.000000,3444.536865,3443.962402
759.738831,14.007902,4199.399902,3440.691650,3439.860840
759.738831,13.999048,4199.399902,3437.945068,3435.759277
758.522156,14.007554,4200.600098,3440.142334,3439.860840
759.130493,14.008246,4201.799805,3438.494385,3439.860840
762.780212,14.028014,4187.399902,3456.072510,3456.267090
757.913940,14.023289,4198.200195,3447.832764,3448.063965
763.388367,14.043660,4203.599609,3443.438232,3443.962402
761.563538,14.025261,4197.000000,3446.184814,3443.962402
763.388367,14.049166,4207.200195,3441.240967,3439.860840
761.563538,14.052170,4204.800293,3446.184814,3443.962402
762.780212,14.061023,4200.600098,3451.677979,3452.165527
765.213257,14.099190,4204.200195,3457.171143,3456.267090
765.213257,14.078730,4201.199707,3454.424561,3452.165527
768.254639,14.109071,4197.600098,3464.312256,3464.470215
765.821594,14.097121,4205.399902,3454.424561,3452.165527
760.955322,14.104941,4200.600098,3465.960205,3468.571777
762.171875,14.114828,4200.600098,3467.608154,3468.571777
760.955322,14.103913,4203.599609,3462.664307,3460.368652
765.213257,14.104258,4200.000000,3462.664307,3460.368652
765.821594,14.097465,4203.599609,3456.621826,3456.267090
764.604919,14.097121,4204.200195,3456.621826,3456.267090
762.780212,14.077698,4207.799805,3448.931396,3448.063965
760.955322,14.061367,4203.000000,3451.128662,3452.165527
756.697388,14.053635,4198.800293,3456.621826,3456.267090
756.697388,14.030766,4196.400391,3452.776611,3452.165527
757.305603,14.026986,4195.799805,3451.677979,3452.165527
758.522156,14.016407,4198.200195,3445.086182,3443.962402
757.913940,14.007554,4200.000000,3441.240967,3443.962402
757.913940,14.011339,4207.799805,3434.649170,3435.759277
756.089111,14.015128,4198.800293,3446.184814,3443.962402
758.522156,14.014436,4201.799805,3440.691650,3439.860840
757.913940,13.990880,4201.799805,3434.649170,3435.759277
756.089111,13.991572,4201.199707,3437.395752,3435.759277
756.697388,13.982369,4197.000000,3438.494385,3435.759277
758.522156,14.004898,4198.200195,3441.790283,3443.962402
758.522156,13.982026,4200.600098,3433.001221,3431.657715
758.522156,13.999048,4201.199707,3437.395752,3435.759277
758.522156,14.013060,4191.600098,3451.128662,3452.165527
759.130493,13.981341,4200.600098,3432.451904,3431.657715
756.697388,13.981686,4201.199707,3433.550537,3435.759277
757.913940,13.990195,4206.000000,3430.254639,3427.556152
759.130493,14.005582,4197.600098,3442.339600,3443.962402
759.130493,14.003178,4199.399902,3439.593018,3439.860840
758.522156,13.994669,4197.000000,3440.142334,3439.860840
758.522156,13.998016,4199.399902,3438.494385,3439.860840
762.171875,14.012715,4198.800293,3440.691650,3439.860840
763.388367,14.015723,4200.600098,3438.494385,3435.759277
763.388367,14.030083,4198.200195,3445.086182,3443.962402
762.780212,14.042968,4195.799805,3451.677979,3452.165527
763.388367,14.062051,4201.199707,3451.128662,3452.165527
763.388367,14.062051,4198.800293,3453.325928,3452.165527
762.780212,14.088612,4191.000000,3469.805420,3468.571777
765.821594,14.079758,4195.199707,3460.467041,3460.368652
762.780212,14.087928,4202.399902,3457.720459,3460.368652
764.604919,14.086892,4204.800293,3453.325928,3452.165527
765.213257,14.114488,4203.000000,3462.664307,3460.368652
763.996704,14.107350,4198.800293,3465.960205,3468.571777
763.996704,14.086552,4202.399902,3456.072510,3456.267090
760.955322,14.077698,4198.800293,3459.917725,3460.368652
759.738831,14.069528,4202.399902,3454.973877,3452.165527
762.171875,14.069528,4198.200195,3457.171143,3456.267090
761.563538,14.060331,4202.399902,3450.579346,3452.165527
760.346985,14.083543,4209.000000,3451.677979,3452.165527
760.955322,14.070904,4200.000000,3456.621826,3456.267090
762.171875,14.059647,4199.399902,3453.325928,3452.165527
759.130493,14.057327,4194.600098,3460.467041,3460.368652
759.130493,14.046412,4204.200195,3447.283447,3448.063965
760.346985,14.025953,4200.000000,3444.536865,3443.962402
757.913940,14.042968,4195.799805,3456.072510,3456.267090
761.563538,14.033086,4199.399902,3446.184814,3443.962402
757.913940,14.007211,4197.600098,3443.987549,3443.962402
758.522156,14.006526,4193.399902,3447.283447,3448.063965
756.697388,13.998700,4204.200195,3435.747803,3435.759277
757.305603,14.006178,4197.000000,3444.536865,3443.962402
754.872559,13.998105,4206.000000,3435.198486,3435.759277
757.913940,14.002145,4203.599609,3436.297119,3435.759277
756.089111,13.981686,4197.600098,3437.945068,3435.759277
757.305603,13.986155,4201.199707,3434.649170,3435.759277
756.089111,13.982718,4198.800293,3436.846436,3435.759277
757.305603,13.987531,4198.800293,3437.395752,3435.759277
757.913940,13.985123,4198.800293,3436.297119,3435.759277
758.522156,14.004206,4202.399902,3437.395752,3435.759277
757.305603,14.008930,4201.799805,3440.691650,3439.860840
762.171875,14.008246,4198.800293,3439.043701,3439.860840
824.216003,12.346890,3661.199951,3460.467041,3460.368652
836.381531,12.345514,3660.599854,3452.776611,3452.165527
846.114014,12.343105,3661.199951,3445.635498,3443.962402
849.155396,12.347583,3664.199951,3442.339600,3443.962402
847.330566,12.360812,3662.400146,3448.931396,3452.165527
849.763611,12.334251,3661.199951,3440.691650,3439.860840
848.547119,12.324715,3659.400146,3440.691650,3439.860840
849.155396,12.310445,3658.200195,3436.846436,3435.759277
848.547119,12.307348,3660.599854,3434.099854,3435.759277
849.763611,12.285953,3661.799805,3425.310791,3427.556152
847.938904,12.317237,3663.600098,3434.099854,3435.759277
847.330566,12.308384,3658.800049,3436.846436,3435.759277
844.897522,12.262396,3656.399902,3426.409424,3427.556152
844.897522,12.253975,3661.199951,3418.718994,3419.353027
844.289185,12.256639,3660.599854,3420.366943,3419.353027
844.289185,12.236864,3655.800049,3419.817627,3419.353027
