Ps,I_test,CompSpeed,P_dis_es,P_dis
1649.647095,0.002282,0.000000,1798.784912,1048.650024
1663.029175,-0.123303,0.000000,-1.324996,-1.345995
1669.111938,-0.168720,0.000000,-1.324996,-1.345995
1669.720215,-0.176293,0.000000,-1.324996,-1.345995
1668.503662,-0.175949,0.000000,-1.324996,-1.345995
1666.678833,-0.176293,0.000000,-1.324996,-1.345995
1666.070557,-0.175257,0.000000,-1.324996,-1.345995
1665.462402,-0.250612,0.000000,-1.324996,-1.345995
1664.245605,-0.275725,0.000000,-1.324996,-1.345995
1663.029175,-0.210356,0.000000,-1.324996,-1.345995
1569.354492,-0.248199,1229.400024,-1.324996,-1.345995
1523.125610,-0.235473,1311.600098,-1.324996,-1.345995
1490.886963,-0.243386,1399.199951,-1.324996,-1.345995
1415.460815,-0.236505,1474.800049,-1.324996,-1.345995
1296.846924,-0.159086,1565.400024,-1.324996,-1.345995
1170.933594,-0.278137,1644.000000,-1.324996,-1.345995
1074.825928,-0.191432,1735.800049,-1.324996,-1.345995
954.995361,-0.255081,1795.800049,-1.324996,-1.345995
866.187073,-0.225147,1878.599976,-1.324996,-1.345995
785.286438,-0.248199,1964.400146,-1.324996,-1.345995
714.726257,-0.236849,2053.200195,-1.324996,-1.345995
639.908325,6.145178,2133.600098,2950.701416,2951.774902
582.730408,5.986592,2219.400146,2800.188721,2804.118652
532.243347,6.161647,2295.599854,2857.317627,2853.337402
487.230988,6.177697,2388.000000,2808.977783,2804.118652
446.476440,-0.133969,2313.600098,-1.324996,-1.345995
430.052948,-0.265407,2110.800049,-1.324996,-1.345995
419.103973,-0.139134,2036.399902,-1.324996,-1.345995
414.237793,-0.198998,0.000000,-1.324996,-1.345995
585.163391,-0.157709,0.000000,-1.324996,-1.345995
701.344238,-0.091996,0.000000,-1.324996,-1.345995
807.184326,-0.062062,0.000000,-1.324996,-1.345995
905.725098,-0.044511,0.000000,-1.324996,-1.345995
1014.606567,-0.032468,0.000000,-1.324996,-1.345995
1102.198364,-0.023183,0.000000,-1.324996,-1.345995
1183.707397,-0.016301,0.000000,-1.324996,-1.345995
1282.856445,-0.011140,0.000000,-1.324996,-1.345995
1352.808228,-0.008728,0.000000,-1.324996,1048.650024
1428.234619,-0.008728,0.000000,-1.324996,1048.650024
1488.453979,-0.008728,0.000000,-1.324996,1048.650024
1543.198853,-0.088552,0.000000,-1.324996,-1.345995
1590.644287,-0.116077,0.000000,-1.324996,-1.345995
1625.316162,-0.166659,0.000000,-1.324996,-1.345995
1641.131226,-0.175949,0.000000,-1.324996,-1.345995
1650.255493,-0.175257,0.000000,-1.324996,-1.345995
1655.121582,-0.175949,0.000000,-1.324996,-1.345995
1659.987793,-0.175257,0.000000,-1.324996,-1.345995
1662.421021,-0.175949,0.000000,-1.324996,-1.345995
