,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,P_dis_es,P_diff
2023-04-06 17:01:28.049,2466.66943359375,889.3015747070312,3101.399917602539,15.300000190734863,3600,0.8,75.0999984741211,8.332606315612793,92,730,12,0,0,8.627907752990723,50.9327278137207,0,1,0.2488914253,8.379016327690723,2737.5666015625,270.8971679687502
2023-04-06 17:01:30.096,2440.1005859375,916.0657958984375,2795.9999084472656,15.300000190734863,3600,0.8,75.0999984741211,7.447355270385742,92,729,12,0,0,7.884218215942383,50.98272705078125,2,1,0.2485433263,7.635674889642383,2758.440625,318.3400390625002
2023-04-06 17:01:32.110,2424.718994140625,931.8809814453125,2589.0000915527344,15.300000190734863,3600,0.8,75.0,6.932387828826904,89,722,12,0,0,7.406132221221924,51.01605987548828,4,1,0.2461388797,7.159993341521924,2782.06123046875,357.3422363281252
2023-04-06 17:01:34.132,2403.743896484375,945.8712768554688,2388.600082397461,15.200000762939453,3600,0.8,75.0,6.382592678070068,89,817,12,0,0,7.1139678955078125,51.04939270019531,6,1,0.2788213279,6.835146567607812,2857.317578125,453.5736816406252
2023-04-06 17:01:36.147,2386.964111328125,959.8617553710938,2182.800064086914,15.100000381469727,3600,0.8,75.0,5.8370866775512695,85,525,12,0,0,0.0,51.082725524902344,8,1,0.17835341349999997,-0.17835341349999997,-1.324995809048417,-2388.2891071371732
2023-04-06 17:01:41.680,2354.80224609375,982.9761962890625,1799.3999862670898,14.100000381469727,3600,0.8,74.69999694824219,4.109724044799805,80,339,12,0,0,0.0,51.16605758666992,13,1,0.1143607539,-0.1143607539,-1.324995809048417,-2356.1272419027982
2023-04-06 17:01:43.654,2349.208984375,982.367919921875,1800.0,13.800000190734863,3600,0.8,74.5999984741211,3.8287839889526367,80,627,12,0,0,0.0,51.19939041137695,15,1,0.21345239549999998,-0.21345239549999998,-1.324995809048417,-2350.5339801840482
2023-04-06 17:01:45.668,2343.61572265625,981.7597045898438,1793.9999771118164,13.5,3600,0.8,74.5,3.547842264175415,80,370,12,0,0,0.0,51.232723236083984,17,1,0.12502687329999998,-0.12502687329999998,-1.324995809048417,-2344.9407184652982
2023-04-06 17:01:47.702,2346.412353515625,981.1514892578125,1804.7999954223633,13.19999885559082,3600,0.8,74.19999694824219,3.2668981552124023,79,564,12,0,0,0.0,51.266056060791016,19,1,0.1917720785,-0.1917720785,-1.324995809048417,-2347.7373493246732
2023-04-06 17:01:49.716,2335.2255859375,981.7597045898438,1802.9999542236328,13.000000953674316,3600,0.8,74.19999694824219,3.0478434562683105,79,466,12,0,0,0.0,51.29938888549805,21,1,0.1580574205,-0.1580574205,-1.324995809048417,-2336.5505817465482
2023-04-06 17:01:51.719,2338.022216796875,981.7597045898438,1797.0000457763672,12.800000190734863,3600,0.8,74.0,2.8478431701660156,79,346,12,0,0,0.0,51.33272171020508,23,1,0.1167692365,-0.1167692365,-1.324995809048417,-2339.3472126059232
2023-04-06 17:01:53.732,2333.826904296875,982.367919921875,1802.4000549316406,12.700000762939453,3600,0.8,73.80000305175781,2.7287843227386475,79,625,12,0,0,0.0,51.36605453491211,25,1,0.2127602335,-0.2127602335,-1.324995809048417,-2335.1519001059232
2023-04-06 17:01:55.745,2321.2421875,982.9761962890625,1800.0,12.600000381469727,3600,0.8,73.5999984741211,2.6097233295440674,79,404,12,0,0,0.0,51.39938735961914,27,1,0.1367211665,-0.1367211665,-1.324995809048417,-2322.5671833090482
2023-04-06 17:01:57.767,2335.2255859375,982.9761962890625,1801.8000411987305,12.5,3600,0.8,73.39999389648438,2.50972318649292,79,220,12,0,0,0.0,51.43272018432617,29,1,0.0734126177,-0.0734126177,-1.324995809048417,-2336.5505817465482
2023-04-06 17:01:59.778,2353.404052734375,982.367919921875,1801.2000274658203,12.399999618530273,3600,0.8,73.19999694824219,2.428783893585205,79,372,12,0,0,0.0,51.4660530090332,31,1,0.12571098409999998,-0.12571098409999998,-1.324995809048417,-2354.7290485434232
2023-04-06 17:02:01.802,2353.404052734375,982.367919921875,1798.7999725341797,12.299999237060547,3600,0.8,72.9000015258789,2.3287837505340576,79,430,12,0,0,0.0,51.499385833740234,33,1,0.14567096529999998,-0.14567096529999998,-1.324995809048417,-2354.7290485434232
2023-04-06 17:02:03.802,2338.022216796875,982.9761962890625,1803.599967956543,12.199999809265137,3600,0.8,72.5999984741211,2.2097227573394775,79,629,12,0,0,0.0,51.532718658447266,35,1,0.21413650629999997,-0.21413650629999997,-1.324995809048417,-2339.3472126059232
2023-04-06 17:02:05.816,2333.826904296875,984.1927490234375,1802.4000549316406,12.199999809265137,3600,0.8,72.5,2.1716012954711914,79,346,12,0,0,0.0,51.5660514831543,37,1,0.1167692365,-0.1167692365,-1.324995809048417,-2335.1519001059232
2023-04-06 17:02:07.834,2336.6240234375,984.1927490234375,1798.1999588012695,12.09999942779541,3600,0.8,72.30000305175781,2.071600914001465,78,545,12,0,0,0.0,51.59938430786133,39,1,0.18523477749999998,-0.18523477749999998,-1.324995809048417,-2337.9490192465482
2023-04-06 17:02:09.849,2325.437255859375,983.5844116210938,1805.4000091552734,12.09999942779541,3600,0.8,72.0999984741211,2.0906639099121094,78,488,12,0,0,0.0,51.63271713256836,41,1,0.1656228953,-0.1656228953,-1.324995809048417,-2326.7622516684232
2023-04-06 17:02:11.849,2322.640625,984.1927490234375,1797.0000457763672,11.999999046325684,3600,0.8,71.69999694824219,1.971600890159607,78,424,12,0,0,0.0,51.66604995727539,43,1,0.1436025305,-0.1436025305,-1.324995809048417,-2323.9656208090482
2023-04-06 17:02:13.861,2318.44580078125,984.8009643554688,1801.2000274658203,11.999999046325684,3600,0.8,71.5,1.9525443315505981,78,586,12,0,0,0.0,51.69938278198242,45,1,0.1993456045,-0.1993456045,-1.324995809048417,-2319.7707965902982
2023-04-06 17:02:15.883,2265.30859375,1042.5872802734375,0.0,11.999999046325684,3600,0.8,71.30000305175781,0.1868693083524704,78,633,12,0,0,0.0,0.0,47,2,0.2155127791,-0.2155127791,-1.324995809048417,-2266.6335895590482
2023-04-06 17:02:17.885,2200.985107421875,1091.857666015625,0.0,11.999999046325684,3600,0.8,71.0999984741211,-1.2655024528503418,72,251,12,0,0,0.0,0.0,49,2,0.08408275230000001,-0.08408275230000001,-1.324995809048417,-2202.3101032309232
2023-04-06 17:02:19.897,2171.620361328125,1108.889404296875,0.0,11.999999046325684,3600,0.8,70.80000305175781,-1.757341980934143,49,456,12,0,0,0.0,0.0,51,2,0.1546127129,-0.1546127129,-1.324995809048417,-2172.9453571371732
2023-04-06 17:02:21.912,2139.45849609375,1116.7969970703125,0.0,12.09999942779541,3600,0.8,70.5999984741211,-1.8842252492904663,40,524,12,0,0,0.0,0.0,53,2,0.1780093505,-0.1780093505,-1.324995809048417,-2140.7834919027982
2023-04-06 17:02:23.934,2110.093505859375,1120.4466552734375,0.0,12.199999809265137,3600,0.8,70.30000305175781,-1.8889405727386475,40,517,12,0,0,0.0,0.0,55,2,0.17560086789999999,-0.17560086789999999,-1.324995809048417,-2111.4185016684232
2023-04-06 17:02:25.949,2075.135009765625,1127.7459716796875,0.0,12.5,3600,0.8,70.0,-1.7958810329437256,40,520,12,0,0,0.0,0.0,57,2,0.17663307769999997,-0.17663307769999997,-1.324995809048417,-2076.4600055746732
2023-04-06 17:02:27.951,2052.76171875,1135.0452880859375,0.0,12.700000762939453,3600,0.8,69.80000305175781,-1.8027580976486206,40,518,12,0,0,0.0,0.0,59,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-2054.0867145590482
2023-04-06 17:02:29.966,2033.1848144531248,1142.952880859375,0.0,13.000000953674316,3600,0.8,69.5,-1.7261505126953125,40,519,12,0,0,0.0,0.0,61,2,0.17629302989999998,-0.17629302989999998,-1.324995809048417,-2034.5098102621732
2023-04-06 17:02:31.981,2013.6080322265623,1152.0770263671875,0.0,13.19999885559082,3600,0.8,69.30000305175781,-1.7815483808517456,40,517,12,0,0,0.0,0.0,63,2,0.17560086789999999,-0.17560086789999999,-1.324995809048417,-2014.9330280356107
2023-04-06 17:02:33.995,1994.0316162109373,1161.8094482421875,0.0,13.5,3600,0.8,68.9000015258789,-1.7538304328918457,40,520,12,0,0,0.0,0.0,65,2,0.17663307769999997,-0.17663307769999997,-1.324995809048417,-1995.3566120199857
2023-04-06 17:02:35.002,1985.6414794921873,1166.0673828125,0.0,13.699999809265137,3600,0.8,68.69999694824219,-1.6715749502182007,40,517,12,0,0,0.0,0.0,66,2,0.17560086789999999,-0.17560086789999999,-1.324995809048417,-1986.9664753012357
2023-04-06 17:02:37.025,1971.6582031249998,1174.5833740234375,0.0,13.90000057220459,3600,0.8,68.5,-1.7070642709732056,40,518,12,0,0,0.0,0.0,68,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1972.9831989340482
2023-04-06 17:02:39.026,1960.4711914062498,1183.7073974609375,0.0,14.100000381469727,3600,0.8,68.19999694824219,-1.7588424682617188,40,519,12,0,0,0.0,0.0,70,2,0.17629302989999998,-0.17629302989999998,-1.324995809048417,-1961.7961872152982
2023-04-06 17:02:41.037,1947.8863525390623,1201.9556884765625,0.0,14.399998664855957,3600,0.8,67.80000305175781,-1.9573168754577637,40,518,12,0,0,0.0,0.0,72,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1949.2113483481107
2023-04-06 17:02:43.060,1939.496337890625,1212.9046630859375,0.0,14.59999942779541,3600,0.8,67.5999984741211,-2.053156852722168,40,518,12,0,0,0.0,0.0,75,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1940.8213336996735
2023-04-06 17:02:45.073,1931.1063232421875,1221.4205322265625,0.0,14.799999237060547,3600,0.8,67.30000305175781,-2.0829412937164307,40,518,12,0,0,0.0,0.0,77,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1932.431319051236
2023-04-06 17:02:47.076,1924.11474609375,1230.544677734375,0.0,15.0,3600,0.8,67.0,-2.127166271209717,40,518,12,0,0,0.0,0.0,79,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1925.4397419027985
2023-04-06 17:02:49.089,1914.326171875,1240.8853759765625,0.0,15.300000190734863,3600,0.8,66.60000610351562,-2.1028497219085693,40,517,12,0,0,0.0,0.0,81,2,0.17560086789999999,-0.17560086789999999,-1.324995809048417,-1915.6511676840485
2023-04-06 17:02:51.123,1904.5377197265625,1248.79296875,0.0,15.600001335144043,3600,0.8,66.30000305175781,-2.0127551555633545,40,519,12,0,0,0.0,0.0,83,2,0.17629302989999998,-0.17629302989999998,-1.324995809048417,-1905.862715535611
2023-04-06 17:02:53.126,1896.147705078125,1257.308837890625,0.0,15.799999237060547,3600,0.8,65.89999389648438,-2.037046194076538,40,517,12,0,0,0.0,0.0,85,2,0.17560086789999999,-0.17560086789999999,-1.324995809048417,-1897.4727008871735
2023-04-06 17:02:55.139,1883.562744140625,1265.82470703125,0.0,16.100000381469727,3600,0.8,65.5999984741211,-1.96133291721344,40,518,12,0,0,0.0,0.0,87,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1884.8877399496735
2023-04-06 17:02:57.153,1875.1727294921875,1273.7322998046875,0.0,16.299999237060547,3600,0.8,65.30000305175781,-1.9677374362945557,40,518,12,0,0,0.0,0.0,89,2,0.17594896689999998,-0.17594896689999998,-1.324995809048417,-1876.497725301236
