Ps,I_test,CompSpeed,P_dis_es,P_dis
440.393677,13.169082,5398.800293,2498.064697,2496.501465
441.001953,13.177936,5399.399902,2498.888672,2500.603027
440.393677,13.169426,5397.600098,2499.163330,2500.603027
440.393677,13.160228,5398.800293,2495.867432,2496.501465
439.785431,13.165981,5401.799805,2495.867432,2496.501465
439.785431,13.158852,5403.599609,2492.571533,2492.399902
439.785431,13.150683,5398.800293,2494.768799,2492.399902
439.785431,13.185412,5405.399902,2497.515381,2496.501465
439.177094,13.125843,5397.600098,2490.648926,2492.399902
439.177094,13.168050,5400.000000,2498.614014,2500.603027
439.177094,13.142174,5398.200195,2493.944824,2492.399902
439.177094,13.133668,5400.000000,2490.374268,2492.399902
438.568878,13.114585,5397.600098,2488.726318,2488.298340
438.568878,13.123438,5401.799805,2487.627686,2488.298340
438.568878,13.107792,5404.800293,2481.585205,2480.095215
438.568878,13.123090,5398.200195,2490.374268,2492.399902
437.960571,13.105040,5403.000000,2483.233154,2484.196777
438.568878,13.106075,5401.199707,2484.057129,2484.196777
439.177094,13.115270,5398.200195,2487.627686,2488.298340
438.568878,13.107107,5398.800293,2485.979736,2484.196777
438.568878,13.125843,5401.799805,2488.177002,2488.298340
438.568878,13.089745,5393.399902,2486.529053,2484.196777
439.177094,13.089052,5402.399902,2478.289307,2480.095215
439.177094,13.071345,5401.799805,2474.993408,2475.993652
439.177094,13.098598,5396.400391,2485.430420,2484.196777
439.177094,13.082268,5402.399902,2476.641357,2475.993652
439.177094,13.062491,5402.399902,2472.246826,2471.892090
438.568878,13.095846,5401.199707,2481.585205,2480.095215
439.177094,13.095502,5400.600098,2481.310547,2480.095215
439.177094,13.056740,5396.400391,2475.542725,2475.993652
438.568878,13.079856,5398.800293,2479.937256,2480.095215
439.785431,13.061808,5394.000000,2477.739990,2475.993652
439.785431,13.082952,5399.399902,2478.563965,2480.095215
439.785431,13.071345,5397.000000,2477.739990,2475.993652
439.785431,13.061115,5398.200195,2474.444092,2475.993652
440.393677,13.096530,5401.199707,2479.387939,2480.095215
440.393677,13.081576,5399.399902,2477.465332,2475.993652
441.001953,13.063524,5403.599609,2469.500244,2467.790527
441.001953,13.099975,5403.000000,2478.289307,2475.993652
440.393677,13.088024,5400.000000,2478.289307,2480.095215
441.001953,13.107792,5398.800293,2483.233154,2484.196777
441.001953,13.097906,5402.399902,2478.289307,2475.993652
441.610291,13.123090,5398.200195,2486.529053,2484.196777
442.218475,13.097906,5401.199707,2477.465332,2475.993652
442.218475,13.115270,5401.199707,2481.585205,2480.095215
441.610291,13.108484,5403.000000,2479.387939,2480.095215
441.610291,13.099283,5397.600098,2481.310547,2480.095215
442.218475,13.115613,5403.599609,2479.662598,2480.095215
442.218475,13.100315,5398.200195,2480.486572,2480.095215
442.826721,13.107107,5400.600098,2479.387939,2480.095215
442.826721,13.154128,5396.400391,2493.120850,2492.399902
442.826721,13.114237,5401.199707,2480.486572,2480.095215
442.826721,13.132636,5397.600098,2487.627686,2488.298340
442.826721,13.130223,5400.000000,2484.881104,2484.196777
443.435059,13.134012,5406.000000,2480.486572,2480.095215
443.435059,13.158504,5398.800293,2491.747559,2492.399902
442.826721,13.133668,5398.200195,2487.078369,2488.298340
443.435059,13.143899,5396.400391,2490.374268,2492.399902
444.651581,13.167357,5397.600098,2493.120850,2492.399902
444.651581,13.183688,5401.799805,2493.670166,2492.399902
445.259857,13.159196,5400.600098,2488.177002,2488.298340
444.651581,13.151375,5399.399902,2488.177002,2488.298340
444.651581,13.160228,5395.199707,2493.120850,2492.399902
445.259857,13.177244,5401.199707,2492.022217,2492.399902
445.259857,13.159196,5403.599609,2485.979736,2484.196777
445.259857,13.176559,5400.000000,2492.571533,2492.399902
445.868134,13.176904,5399.399902,2492.571533,2492.399902
445.868134,13.192889,5397.000000,2498.064697,2496.501465
445.868134,13.211624,5398.800293,2500.811279,2500.603027
445.868134,13.185412,5398.800293,2494.768799,2496.501465
445.868134,13.198738,5403.599609,2494.219482,2492.399902
445.868134,13.189194,5401.199707,2493.670166,2492.399902
446.476440,13.194610,5401.199707,2494.219482,2492.399902
446.476440,13.212657,5400.000000,2499.163330,2500.603027
446.476440,13.210001,5397.600098,2500.811279,2500.603027
446.476440,13.185412,5398.200195,2494.494141,2492.399902
445.868134,13.211624,5404.800293,2496.416748,2496.501465
445.868134,13.180341,5402.399902,2490.923584,2492.399902
446.476440,13.229680,5401.799805,2501.909912,2500.603027
446.476440,13.221170,5398.200195,2502.733887,2500.603027
447.084717,13.220478,5400.600098,2499.712646,2500.603027
447.084717,13.228648,5400.600098,2501.909912,2500.603027
446.476440,13.203464,5403.599609,2494.494141,2492.399902
446.476440,13.231056,5401.799805,2502.184570,2500.603027
447.084717,13.211624,5402.399902,2496.416748,2496.501465
446.476440,13.212657,5400.600098,2498.888672,2500.603027
447.084717,13.221170,5399.399902,2500.811279,2500.603027
446.476440,13.215754,5400.600098,2499.712646,2500.603027
447.084717,13.231400,5401.799805,2501.360596,2500.603027
447.084717,13.237157,5401.199707,2503.283203,2504.704590
447.084717,13.203804,5398.200195,2498.064697,2496.501465
445.868134,13.176904,5405.399902,2487.627686,2488.298340
446.476440,13.193917,5398.800293,2495.867432,2496.501465
446.476440,13.227612,5402.399902,2500.811279,2500.603027
445.868134,13.206216,5398.200195,2500.261963,2500.603027
445.868134,13.184721,5400.000000,2493.670166,2492.399902
445.868134,13.219794,5400.000000,2501.909912,2500.603027
445.259857,13.192889,5403.599609,2493.670166,2492.399902
445.259857,13.176904,5402.399902,2490.923584,2492.399902
445.259857,13.204147,5401.799805,2497.515381,2496.501465
444.651581,13.167357,5403.599609,2488.726318,2488.298340
444.043335,13.185757,5398.800293,2497.240723,2496.501465
444.651581,13.169082,5397.000000,2494.219482,2492.399902
444.043335,13.159196,5397.600098,2492.022217,2492.399902
443.435059,13.159880,5398.200195,2492.571533,2492.399902
443.435059,13.151027,5401.799805,2487.627686,2488.298340
443.435059,13.134353,5395.199707,2488.726318,2488.298340
444.043335,13.150683,5398.200195,2489.824951,2488.298340
443.435059,13.161948,5400.600098,2490.923584,2492.399902
443.435059,13.151027,5405.399902,2484.881104,2484.196777
443.435059,13.168734,5398.800293,2494.219482,2492.399902
444.043335,13.160228,5400.600098,2489.824951,2488.298340
443.435059,13.142174,5400.600098,2486.529053,2488.298340
443.435059,13.150683,5398.200195,2490.374268,2492.399902
443.435059,13.152404,5395.199707,2493.120850,2492.399902
443.435059,13.168734,5398.200195,2494.494141,2492.399902
442.826721,13.114237,5401.799805,2479.937256,2480.095215
442.826721,13.129884,5395.799805,2488.177002,2488.298340
444.043335,13.150343,5401.799805,2486.529053,2488.298340
442.826721,13.142522,5402.399902,2485.979736,2484.196777
443.435059,13.133668,5400.000000,2484.881104,2484.196777
443.435059,13.166674,5400.600098,2492.022217,2492.399902
442.826721,13.102384,5398.800293,2479.387939,2480.095215
443.435059,13.176904,5397.000000,2497.515381,2496.501465
442.826721,13.125843,5399.399902,2484.331787,2484.196777
443.435059,13.142174,5401.199707,2485.979736,2484.196777
443.435059,13.141490,5400.000000,2487.078369,2488.298340
443.435059,13.171835,5395.799805,2496.966064,2496.501465
444.043335,13.194265,5403.000000,2495.867432,2496.501465
444.043335,13.161257,5398.200195,2492.022217,2492.399902
444.043335,13.177588,5400.000000,2494.219482,2492.399902
444.043335,13.168050,5399.399902,2492.571533,2492.399902
444.043335,13.153095,5400.600098,2488.177002,2488.298340
444.043335,13.159880,5400.600098,2489.824951,2488.298340
444.651581,13.169426,5403.599609,2489.000977,2488.298340
444.651581,13.164357,5398.200195,2492.022217,2492.399902
444.651581,13.159880,5402.399902,2487.627686,2488.298340
445.259857,13.153436,5402.399902,2485.430420,2484.196777
444.651581,13.177588,5403.599609,2490.923584,2492.399902
445.259857,13.161257,5400.000000,2489.275635,2488.298340
