,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,P_dis_es,P_diff
2023-03-29 15:42:30.221,2796.676513671875,757.3056030273438,4193.399963378906,16.0,3600,0.8,83.39999389648438,13.68048095703125,96,1161,3,0,0,14.391505241394043,388.7991943359375,79,1,0.39718078870000006,13.994324452694043,3445.0861328125,648.4096191406252
2023-03-29 15:42:32.960,2795.2783203125,754.2642211914062,4198.800201416016,16.0,3600,0.8,83.39999389648438,13.79357624053955,96,1150,3,0,0,14.364944458007812,388.84918212890625,82,1,0.39340006930000004,13.971544388707812,3435.1984375,639.9201171875002
2023-03-29 15:42:34.962,2792.4814453125,757.9139404296875,4199.399871826172,16.0,3600,0.8,83.30000305175781,13.657857894897461,96,1168,3,0,0,14.382651329040527,388.88250732421875,84,1,0.3995892713,13.983062057740527,3435.1984375,642.7169921875002
2023-03-29 15:42:51.992,2798.074951171875,760.955322265625,4202.400054931641,16.0,3600,0.8,83.39999389648438,13.54476261138916,96,1153,3,0,0,14.382651329040527,389.165771484375,101,1,0.3944282431,13.988223085940527,3430.80390625,632.7289550781252
2023-03-29 15:43:00.219,2798.074951171875,754.2642211914062,4203.599853515625,16.0,3600,0.8,83.39999389648438,13.79357624053955,96,1161,3,0,0,14.373797416687012,389.299072265625,109,1,0.39718078870000006,13.976616627987012,3431.9025390625,633.8275878906252
2023-03-29 15:43:04.714,2799.47314453125,759.7388305664062,4197.599945068359,16.0,3600,0.8,83.39999389648438,13.589999198913574,96,1172,3,0,0,14.391505241394043,389.38238525390625,114,1,0.4009655441,13.990539697294043,3437.395703125,637.9225585937502
2023-03-29 15:43:07.480,2800.87158203125,757.9139404296875,4198.800201416016,16.0,3600,0.8,83.30000305175781,13.657857894897461,96,1171,3,0,0,14.400358200073242,389.432373046875,117,1,0.4006254963,13.999732703773242,3440.14228515625,639.2707031250002
2023-03-29 15:43:13.182,2802.27001953125,758.5221557617188,4204.800109863281,16.0,3600,0.8,83.39999389648438,13.635241508483887,96,1172,3,0,0,14.400358200073242,389.51568603515625,122,1,0.4009655441,13.999392655973242,3433.55048828125,631.2804687500002
2023-03-29 15:43:15.758,2803.668212890625,759.7388305664062,4202.400054931641,16.0,3600,0.8,83.30000305175781,13.589999198913574,96,1172,3,0,0,14.409212112426758,389.565673828125,125,1,0.4009655441,14.008246568326758,3437.395703125,633.7274902343752
2023-03-29 15:43:29.173,2806.46484375,760.955322265625,4197.599945068359,16.0,3600,0.8,83.30000305175781,13.54476261138916,96,1176,3,0,0,14.426918983459473,389.78228759765625,138,1,0.40234181690000004,14.024577166559473,3446.184765625,639.7199218750002
2023-03-29 15:43:37.398,2810.659912109375,763.3883666992188,4197.599945068359,15.899999618530273,3600,0.8,83.0999984741211,13.354286193847656,96,1164,3,0,0,14.435771942138672,389.91558837890625,147,1,0.3982129985,14.037558943638672,3447.83271484375,637.1728027343752
2023-03-29 15:43:41.973,2813.45654296875,763.9967041015625,4199.399871826172,15.899999618530273,3600,0.8,83.30000305175781,13.3316650390625,96,1176,3,0,0,14.453479766845703,389.9989013671875,151,1,0.40234181690000004,14.051137949945703,3449.4806640625,636.0241210937502
2023-03-29 15:43:55.291,2819.050048828125,764.6049194335938,4204.199981689453,15.899999618530273,3600,0.8,83.30000305175781,13.309046745300293,96,1151,3,0,0,14.471185684204102,390.21551513671875,164,1,0.39374413230000005,14.077441551904101,3451.12861328125,632.0785644531252
