Ps,I_test,CompSpeed,P_dis_es,P_dis
922.148621,0.002282,0.000000,1068.194092,1048.650024
922.148621,0.002282,0.000000,1068.194092,1048.650024
921.540283,0.002282,0.000000,1067.644775,1048.650024
920.932068,0.002282,0.000000,1067.095459,1048.650024
920.932068,0.002282,0.000000,1067.095459,1048.650024
920.323730,0.002282,0.000000,1066.546143,1048.650024
920.323730,0.002282,0.000000,1066.546143,1048.650024
919.715393,0.002282,0.000000,1065.996826,1048.650024
920.323730,0.002282,0.000000,1066.546143,1048.650024
919.107178,0.002282,0.000000,1065.447510,1048.650024
919.107178,0.002282,0.000000,1065.447510,1048.650024
918.498901,0.002282,0.000000,1064.898193,1048.650024
918.498901,0.002282,0.000000,1064.898193,1048.650024
917.890686,0.002282,0.000000,1064.074219,1048.650024
917.282349,0.002282,0.000000,1063.250244,1048.650024
916.674011,0.002282,0.000000,1062.700928,1048.650024
916.065796,0.002282,0.000000,1062.151611,1048.650024
915.457520,0.002282,0.000000,1061.602295,1048.650024
914.849304,0.002282,0.000000,1061.052979,1048.650024
914.240967,0.002282,0.000000,1060.503662,1048.650024
913.632629,0.002282,0.000000,1059.954346,1048.650024
913.024414,0.002282,0.000000,1059.405029,1048.650024
912.416077,0.002282,0.000000,1058.581055,1048.650024
911.807861,0.002282,0.000000,1057.757080,1048.650024
911.199585,0.002282,0.000000,1057.207764,1048.650024
910.591248,0.002282,0.000000,1056.658447,1048.650024
909.983032,0.002282,0.000000,1056.109131,1048.650024
908.766479,0.002282,0.000000,1055.010498,1048.650024
908.158142,0.002282,0.000000,1054.461182,1048.650024
907.549866,0.002282,0.000000,1053.911865,1048.650024
906.941650,0.002282,0.000000,1053.087891,1048.650024
906.333313,0.002282,0.000000,1052.263916,1048.650024
906.333313,0.002282,0.000000,1052.263916,1048.650024
905.117004,0.002282,0.000000,1051.165283,1048.650024
905.117004,0.002282,0.000000,1051.165283,1048.650024
903.900269,0.002282,0.000000,1050.066650,1048.650024
903.291931,0.002282,0.000000,1049.517334,1048.650024
902.075500,0.002282,0.000000,1048.418701,1048.650024
900.858826,0.002282,0.000000,1046.770752,1048.650024
900.250549,0.002282,0.000000,1046.221436,1048.650024
899.642334,0.002282,0.000000,1045.672119,523.650024
898.425903,0.002282,0.000000,1044.573486,523.650024
898.425903,0.002282,0.000000,1044.573486,523.650024
897.209167,0.002282,0.000000,1043.474854,523.650024
896.600952,0.002282,0.000000,1042.925537,523.650024
895.992737,0.002282,0.000000,1042.376221,523.650024
895.384521,0.002282,0.000000,1041.277588,523.650024
894.167725,0.002282,0.000000,1040.178955,523.650024
893.559509,0.002282,0.000000,1039.629639,523.650024
892.343018,0.002282,0.000000,1038.531006,523.650024
891.734802,0.002282,0.000000,1037.981689,523.650024
891.126343,0.002282,0.000000,1037.432373,523.650024
890.518127,0.002282,0.000000,1036.883057,523.650024
889.301575,0.002282,0.000000,1035.235107,523.650024
889.301575,0.002282,0.000000,1035.235107,523.650024
887.476868,-0.125371,0.000000,-1.324996,-1.345995
882.610474,-0.091996,0.000000,-1.324996,-1.345995
877.744446,-0.140166,0.000000,-1.324996,-1.345995
869.836792,-0.166999,0.000000,-1.324996,-1.345995
863.754028,-0.176977,0.000000,-1.324996,-1.345995
857.671265,-0.175601,0.000000,-1.324996,-1.345995
852.196838,-0.246483,0.000000,-1.324996,-1.345995
840.031250,-0.230308,1435.199951,-1.324996,-1.345995
819.958191,-0.244070,1253.399902,-1.324996,-1.345995
810.225708,-0.239602,1338.000000,-1.324996,-1.345995
798.060181,-0.241318,1422.599976,-1.324996,-1.345995
788.327820,-0.242694,1504.800049,-1.324996,-1.345995
779.203674,-0.239942,1588.199951,-1.324996,-1.345995
770.079468,-0.240978,1674.000000,-1.324996,-1.345995
761.563538,-0.241662,1756.200073,-1.324996,-1.345995
753.656006,-0.240634,1839.000000,-1.324996,-1.345995
746.964966,-0.240286,1903.199951,-1.324996,-1.345995
739.057373,-0.240634,1984.800049,-1.324996,-1.345995
732.366333,-0.240286,2067.000000,-1.324996,-1.345995
726.283569,-0.241662,2155.199951,-1.324996,-1.345995
721.417358,6.050311,2230.199951,2722.185791,2722.087402
713.509827,6.298208,2318.399902,2736.468018,2738.493652
706.818726,6.508623,2395.199951,2746.355713,2746.696777
700.735901,6.590372,2402.400146,2777.666748,2779.509277
692.828369,6.608079,2402.400146,2789.202393,2787.712402
686.137390,6.660167,2398.800049,2821.062744,2820.524902
677.013245,6.687068,2400.599854,2837.542236,2836.931152
668.497314,6.703742,2401.799805,2849.077881,2853.337402
661.197937,6.686728,2398.800049,2849.627197,2853.337402
652.073853,6.686384,2406.600098,2846.880615,2845.134277
633.825562,6.669705,2401.199951,2860.613525,2861.540527
616.793823,6.651998,2404.199951,2863.909424,2861.540527
597.328979,6.658447,2399.400146,2893.572510,2894.353027
590.029602,6.644869,2396.399902,2899.065674,2902.556152
583.338623,6.660167,2403.000000,2906.756104,2902.556152
577.255859,6.669021,2398.800049,2924.334229,2927.165527
573.606262,6.652346,2406.000000,2911.150635,2910.759277
571.173096,6.642800,2400.599854,2916.643799,2918.962402
568.739929,6.642800,2400.000000,2920.489014,2918.962402
567.523499,6.625093,2407.800049,2901.262939,2902.556152
566.306885,6.614180,2402.400146,2905.108154,2902.556152
565.698547,6.608079,2402.400146,2902.361572,2902.556152
565.698547,6.598877,2405.399902,2893.572510,2894.353027
565.090332,6.616240,2395.800049,2917.193115,2918.962402
564.482117,6.625785,2398.800049,2918.841064,2918.962402
563.873779,6.625437,2401.199951,2916.643799,2918.962402
563.873779,6.626130,2398.800049,2919.939697,2918.962402
563.265503,6.641084,2399.400146,2927.630127,2927.165527
563.265503,6.626470,2402.400146,2915.545166,2918.962402
563.873779,6.617276,2395.199951,2919.939697,2918.962402
562.657166,6.614523,2400.599854,2913.347900,2910.759277
562.657166,6.599225,2394.600098,2913.347900,2910.759277
563.265503,6.599225,2401.199951,2903.460205,2902.556152
563.265503,6.571289,2403.000000,2885.882080,2886.149902
563.265503,6.572665,2395.800049,2895.769775,2894.353027
563.873779,6.554958,2399.400146,2880.938232,2886.149902
563.873779,6.552549,2402.400146,2875.994385,2877.946777
563.265503,6.562779,2392.199951,2895.769775,2894.353027
563.265503,6.563811,2401.199951,2883.684814,2886.149902
563.873779,6.537595,2398.800049,2872.698486,2869.743652
563.873779,6.536559,2397.000000,2874.895752,2869.743652
564.482117,6.535527,2401.199951,2867.205322,2869.743652
564.482117,6.527706,2401.199951,2862.810791,2861.540527
565.698547,6.484475,2397.599854,2844.134033,2845.134277
566.306885,6.501489,2395.800049,2854.021729,2853.337402
565.698547,6.474245,2398.800049,2836.443604,2836.931152
566.306885,6.466768,2402.400146,2827.105225,2828.728027
567.523499,6.583306,2395.199951,2896.868408,2894.353027
569.348267,6.520044,2401.199951,2852.923096,2853.337402
570.564880,6.538095,2397.599854,2866.106689,2869.743652
572.389648,6.556494,2398.200195,2872.698486,2869.743652
573.606262,6.547296,2396.399902,2868.303955,2869.743652
575.431030,6.519704,2397.599854,2849.627197,2853.337402
577.255859,6.511882,2400.000000,2840.838135,2836.931152
579.080627,6.510850,2404.199951,2832.049072,2836.931152
580.297241,6.494520,2394.600098,2835.344971,2836.931152
582.730408,6.508782,2400.000000,2832.598389,2836.931152
584.555237,6.490731,2393.399902,2829.851807,2828.728027
586.380005,6.455317,2395.800049,2806.780518,2804.118652
588.204773,6.464515,2401.799805,2801.287354,2804.118652
588.813110,6.476120,2398.200195,2811.175049,2812.321777
589.421387,6.494520,2399.400146,2818.865479,2820.524902
589.421387,6.494175,2402.400146,2814.470947,2812.321777
591.246216,6.485322,2395.199951,2817.766846,2820.524902
592.462769,6.467959,2400.000000,2801.287354,2804.118652
593.679382,6.474401,2401.199951,2801.287354,2804.118652
593.679382,6.464863,2398.800049,2800.188721,2804.118652
594.287598,6.473368,2398.800049,2803.484619,2804.118652
595.504150,6.474060,2395.199951,2807.879150,2804.118652
596.112366,6.465207,2397.599854,2799.090088,2804.118652
597.937256,6.446464,2399.400146,2785.906494,2787.712402
597.328979,6.437954,2397.599854,2784.807861,2787.712402
596.720703,6.455661,2399.400146,2791.399658,2787.712402
597.328979,6.446124,2397.599854,2788.103760,2787.712402
597.328979,6.464863,2398.200195,2796.892822,2795.915527
597.937256,6.463830,2398.200195,2795.794189,2795.915527
598.545532,6.464170,2395.800049,2799.090088,2795.915527
599.762085,6.385866,2400.599854,2752.947510,2754.899902
598.545532,6.370869,2407.800049,2737.566650,2738.493652
597.937256,6.401856,2400.599854,2761.736572,2763.103027
597.328979,6.445390,2400.599854,2784.807861,2787.712402
597.937256,6.357929,2401.799805,2738.665283,2738.493652
597.328979,6.198525,2401.199951,2662.859619,2664.665527
595.504150,6.534360,2398.800049,2833.147705,2836.931152
596.720703,6.320887,2398.200195,2726.580322,2722.087402
597.328979,6.347544,2402.400146,2733.172119,2738.493652
597.937256,6.359150,2400.000000,2741.961182,2738.493652
599.153748,6.365591,2393.399902,2751.848877,2754.899902
600.370361,6.392496,2407.199951,2747.454346,2746.696777
599.762085,6.409858,2396.399902,2769.427002,2771.306152
600.370361,6.411235,2416.199951,2745.257080,2746.696777
597.937256,6.534499,2498.399902,2707.903564,2705.681152
596.112366,6.804046,2575.800049,2745.257080,2746.696777
593.679382,6.695581,2646.000000,2621.111572,2623.649902
590.638000,6.854599,2733.000000,2602.434814,2599.040527
587.596619,6.995222,2812.199951,2583.758057,2582.634277
583.946899,7.151487,2894.400146,2570.574463,2570.329590
580.905518,7.278533,2995.800049,2528.277100,2525.212402
576.647644,7.510099,3083.399902,2540.362061,2541.618652
572.997925,7.801570,3247.199951,2507.403076,2508.806152
568.739929,7.961965,3307.800049,2515.642822,2517.009277
566.306885,8.128465,3390.000000,2507.403076,2508.806152
563.265503,8.323580,3475.199951,2506.304443,2508.806152
560.832397,8.492832,3561.000000,2495.318115,2492.399902
557.182739,8.660011,3642.599854,2488.177002,2488.298340
555.357910,8.826510,3725.399902,2478.289307,2475.993652
552.924805,9.064177,3809.400146,2489.824951,2492.399902
551.100037,9.262301,3889.199951,2490.923584,2492.399902
548.058655,9.458110,3955.199951,2502.459229,2500.603027
545.017212,9.645409,4016.999756,2513.445557,2512.907715
544.408936,9.636555,4017.599854,2510.698975,2508.806152
543.800659,9.652194,4016.999756,2516.741455,2517.009277
543.192444,9.645753,4017.599854,2514.544189,2517.009277
543.192444,9.645061,4023.000244,2510.149658,2508.806152
542.584045,9.645753,4020.600098,2512.896240,2512.907715
541.975830,9.653570,4021.199707,2515.093506,2517.009277
542.584045,9.653570,4021.199707,2514.544189,2517.009277
542.584045,9.663115,4021.199707,2517.290771,2517.009277
541.975830,9.635523,4021.199707,2509.600342,2508.806152
540.759277,9.663799,4015.800049,2523.333252,2525.212402
541.367554,9.653570,4021.799805,2515.093506,2517.009277
541.367554,9.654262,4021.799805,2515.642822,2517.009277
541.367554,9.636207,4021.799805,2510.149658,2508.806152
541.367554,9.654262,4018.800293,2517.840088,2517.009277
541.367554,9.663115,4017.599854,2521.135986,2521.110840
540.759277,9.671277,4018.200195,2523.882568,2525.212402
540.759277,9.661738,4020.600098,2518.938721,2517.009277
540.759277,9.679790,4021.199707,2523.882568,2525.212402
541.367554,9.688984,4021.799805,2525.530518,2525.212402
540.759277,9.681167,4016.400146,2528.277100,2525.212402
540.759277,9.689327,4023.599854,2524.981201,2525.212402
540.759277,9.679790,4020.600098,2524.431885,2525.212402
540.151062,9.662766,4019.399902,2520.586670,2521.110840
539.542725,9.698873,4022.400146,2529.925049,2529.313965
539.542725,9.698528,4020.600098,2531.023682,2533.415527
539.542725,9.724741,4018.200195,2540.911377,2541.618652
539.542725,9.697496,4020.600098,2531.023682,2533.415527
539.542725,9.697837,4023.000244,2528.826416,2529.313965
538.934448,9.708067,4020.000000,2534.868896,2533.415527
538.934448,9.697837,4019.399902,2532.122314,2533.415527
539.542725,9.723365,4018.800293,2539.812744,2541.618652
538.326172,9.715544,4018.200195,2539.263428,2541.618652
538.934448,9.707034,4014.000000,2539.263428,2541.618652
538.326172,9.715544,4018.800293,2538.714111,2537.517090
537.717896,9.706691,4016.999756,2537.615479,2537.517090
538.326172,9.697837,4018.800293,2533.220947,2533.415527
538.326172,9.715887,4023.000244,2535.418213,2533.415527
537.717896,9.707034,4018.200195,2537.066162,2537.517090
537.717896,9.690704,4018.200195,2532.122314,2533.415527
537.109680,9.699213,4020.000000,2533.770264,2533.415527
536.501343,9.689675,4022.400146,2529.375732,2529.313965
535.893066,9.688984,4018.200195,2533.220947,2533.415527
537.109680,9.697152,4021.799805,2531.572998,2533.415527
535.893066,9.715887,4015.800049,2543.108643,2541.618652
535.284729,9.672313,4017.599854,2529.375732,2529.313965
535.284729,9.680474,4019.399902,2529.925049,2529.313965
534.676514,9.689675,4018.200195,2534.319580,2533.415527
534.676514,9.688984,4021.199707,2532.122314,2533.415527
535.284729,9.671968,4021.799805,2525.530518,2525.212402
534.676514,9.671968,4018.800293,2528.826416,2529.313965
534.676514,9.688643,4023.599854,2529.925049,2529.313965
535.284729,9.688643,4020.000000,2532.122314,2533.415527
534.676514,9.671620,4019.399902,2528.277100,2525.212402
534.068298,9.662766,4018.200195,2526.629150,2525.212402
534.068298,9.654946,4019.399902,2523.333252,2525.212402
