,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,P_dis_es,P_diff
2023-04-03 10:11:33.623,2476.45751953125,416.6709289550782,5398.800201416016,-5.700000286102295,3600,0.8,72.5999984741211,7.164398670196533,23,721,3,0,0,13.045780181884766,60.415916442871094,0,1,0.2457907807,12.799989401184765,2444.231640625,-32.22587890624982
2023-04-03 10:11:41.075,2475.059326171875,419.10397338867193,5400.0,-5.800000190734863,3600,0.8,73.0999984741211,6.932646751403809,23,730,3,0,0,13.116607666015625,60.5325813293457,7,1,0.2488914253,12.867716240715625,2455.76728515625,-19.292041015624818
2023-04-03 10:11:43.091,2473.660888671875,419.7123107910157,5401.199798583984,-5.90000057220459,3600,0.8,73.19999694824219,6.799704551696777,23,732,3,0,0,13.107754707336426,60.565914154052734,9,1,0.24957553609999997,12.858179171236426,2451.9220703125,-21.738818359374818
2023-04-03 10:11:45.106,2473.660888671875,420.32055664062506,5398.800201416016,-5.90000057220459,3600,0.8,73.19999694824219,6.766767978668213,23,732,3,0,0,13.16087532043457,60.599246978759766,11,1,0.24957553609999997,12.91129978433457,2465.1056640625,-8.555224609374818
2023-04-03 10:11:47.105,2473.660888671875,421.53710937500006,5398.2000732421875,-5.999999523162842,3600,0.8,73.30000305175781,6.600892066955566,23,731,3,0,0,13.143168449401855,60.6325798034668,13,1,0.2492354883,12.893932961101855,2459.887158203125,-13.773730468749818
2023-04-03 10:11:49.875,2473.660888671875,422.7536926269532,5402.400054931641,-5.999999523162842,3600,0.8,73.5,6.535013198852539,23,741,3,0,0,13.1962890625,60.682579040527344,16,1,0.2526721447,12.9436169178,2466.75361328125,-6.907275390624818
2023-04-03 10:11:53.607,2473.660888671875,423.97021484375006,5400.0,-6.199999809265137,3600,0.8,73.5999984741211,6.269136428833008,23,730,3,0,0,13.169729232788086,60.749244689941406,19,1,0.2488914253,12.920837807488086,2461.26044921875,-12.400439453124818
2023-04-03 10:12:01.810,2475.059326171875,427.0115356445313,5401.7999267578125,-6.500000476837158,3600,0.8,74.0,5.804508686065674,23,727,3,0,0,13.1962890625,60.88257598876953,28,1,0.24785921549999998,12.948429847,2462.35908203125,-12.700244140624818
2023-04-03 10:12:06.343,2475.059326171875,429.4447326660157,5400.0,-6.500000476837158,3600,0.8,74.0,5.674753189086914,23,736,3,0,0,13.187435150146484,60.949241638183594,32,1,0.2509518089,12.936483341246484,2457.689892578125,-17.369433593749818
2023-04-03 10:12:08.340,2475.059326171875,430.05294799804693,5396.999816894531,-6.59999942779541,3600,0.8,74.19999694824219,5.542320251464844,23,731,3,0,0,13.240556716918945,60.99924087524414,34,1,0.2492354883,12.991321228618945,2471.6974609375,-3.361865234374818
