Ps,I_test,CompSpeed,P_dis_es,P_dis
357.059784,8.734531,4016.400146,2472.246826,2475.993652
355.234985,8.724649,4025.399902,2465.105713,2467.790527
354.018402,8.697057,4019.399902,2462.908447,2459.587402
352.193604,8.714764,4024.800049,2468.401611,2467.790527
350.976990,8.707972,4022.400146,2470.598877,2467.790527
350.368805,8.670836,4019.399902,2460.711182,2459.587402
348.543945,8.662675,4018.200195,2462.908447,2459.587402
347.935669,8.654166,4020.600098,2459.612549,2459.587402
347.935669,8.653822,4020.600098,2459.063232,2459.587402
347.935669,8.654166,4018.800293,2460.711182,2459.587402
348.543945,8.653474,4018.800293,2459.063232,2459.587402
349.152222,8.652098,4021.799805,2454.668701,2451.384277
350.368805,8.647373,4018.800293,2453.020752,2451.384277
353.410187,8.645653,4021.199707,2443.133057,2443.181152
354.626709,8.679006,4017.599854,2456.316650,2459.587402
356.451569,8.671528,4018.800293,2448.626221,2451.384277
358.884644,8.681759,4019.399902,2446.428955,2443.181152
361.926025,8.716480,4021.199707,2450.823486,2451.384277
363.750885,8.707287,4023.000244,2442.583740,2443.181152
365.575745,8.716140,4014.600098,2449.175537,2451.384277
369.225311,8.765471,4021.799805,2453.020752,2451.384277
371.658447,8.742701,4020.600098,2441.485107,2443.181152
380.782593,8.802954,4016.999756,2448.626221,2451.384277
385.648773,8.847906,4019.399902,2453.020752,2451.384277
387.473633,8.830543,4018.800293,2444.231689,2443.181152
389.298492,8.855726,4021.799805,2447.527588,2447.282715
392.948151,8.882287,4022.400146,2449.724854,2451.384277
398.422607,8.909880,4021.799805,2450.274170,2451.384277
401.463989,8.909539,4016.999756,2448.626221,2451.384277
405.113647,8.943918,4018.800293,2453.020752,2451.384277
412.412933,8.979332,4016.999756,2454.668701,2455.485840
413.629517,8.975983,4017.599854,2451.372803,2451.384277
416.670929,9.017158,4019.399902,2459.063232,2459.587402
418.495728,9.043025,4016.999756,2466.753662,2467.790527
419.712311,9.042341,4024.199951,2459.063232,2459.587402
421.537109,9.060389,4020.000000,2465.655029,2467.790527
423.970215,9.061080,4021.199707,2461.260498,2459.587402
426.403351,9.092710,4021.799805,2467.852295,2467.790527
427.619873,9.096146,4020.000000,2468.401611,2467.790527
428.836395,9.105348,4017.599854,2471.697510,2471.892090
430.052948,9.122706,4018.800293,2474.993408,2475.993652
431.877777,9.114545,4021.199707,2467.302979,2467.790527
432.486115,9.138694,4020.600098,2474.993408,2475.993652
434.919189,9.157777,4017.599854,2480.486572,2480.095215
435.527496,9.158468,4019.399902,2478.289307,2475.993652
436.135712,9.183652,4018.800293,2485.979736,2484.196777
436.135712,9.174451,4022.400146,2480.486572,2480.095215
436.744049,9.185372,4018.800293,2485.979736,2484.196777
436.744049,9.185713,4020.600098,2484.331787,2484.196777
436.744049,9.201011,4017.599854,2492.022217,2492.399902
436.135712,9.193191,4022.400146,2486.529053,2484.196777
435.527496,9.193191,4017.599854,2491.472900,2492.399902
434.919189,9.202387,4019.399902,2493.670166,2492.399902
433.702637,9.184337,4020.000000,2489.275635,2488.298340
431.269531,9.168351,4020.000000,2487.078369,2484.196777
430.052948,9.167322,4016.999756,2490.923584,2492.399902
427.011536,9.183996,4017.599854,2500.811279,2500.603027
425.186768,9.147891,4018.800293,2490.374268,2492.399902
423.970215,9.182276,4018.800293,2504.107178,2500.603027
422.753693,9.124432,4022.400146,2483.233154,2484.196777
420.928833,9.138694,4019.399902,2493.670166,2492.399902
418.495728,9.131907,4018.200195,2495.867432,2496.501465
414.237793,9.105000,4016.999756,2494.768799,2492.399902
405.721893,9.078439,4016.999756,2500.261963,2500.603027
403.897095,9.042682,4020.000000,2488.177002,2488.298340
400.247467,9.024290,4019.399902,2488.726318,2488.298340
396.597748,9.011741,4018.800293,2491.472900,2492.399902
394.772949,9.008304,4018.200195,2493.670166,2492.399902
392.339813,8.980368,4021.199707,2485.979736,2484.196777
388.081909,8.954147,4021.199707,2484.881104,2484.196777
385.648773,8.954839,4021.799805,2489.275635,2492.399902
377.741211,8.882979,4021.799805,2478.838623,2475.993652
369.225311,8.828823,4020.600098,2477.190674,2475.993652
366.792206,8.804674,4020.600098,2473.894775,2475.993652
364.359131,8.778799,4020.000000,2469.500244,2467.790527
362.534332,8.776046,4017.599854,2474.993408,2475.993652
360.101166,8.760748,4021.199707,2471.148193,2467.790527
358.276367,8.732126,4019.399902,2466.204346,2467.790527
356.451569,8.714764,4018.800293,2464.007080,2467.790527
354.626709,8.706251,4018.800293,2465.105713,2467.790527
352.801849,8.715447,4020.000000,2471.697510,2471.892090
