Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
1750.972046,32.900002,1878.614258,0.000000,0.000000,35.475811,35.475796,35.475811,35.475796
1764.354126,32.900002,1857.639282,0.000000,0.000000,34.790932,34.790932,35.468998,35.468983
1770.436890,33.000000,1833.867554,0.000000,0.000000,34.287460,34.287460,35.457241,35.457226
1771.045166,33.000000,1815.689209,0.000000,0.000000,33.907162,33.907162,35.441818,35.441803
1769.828613,33.000000,1801.705933,0.000000,0.000000,33.648014,33.647995,35.423969,35.423954
1768.003784,33.000000,1790.519287,0.000000,0.000000,33.457756,33.457748,35.404404,35.404388
1767.395508,33.099998,1782.128906,0.000000,0.000000,33.399162,33.399166,35.384453,35.384438
1766.787354,33.099998,1775.137329,0.000000,0.000000,33.269581,33.269577,35.363407,35.363396
1765.570557,33.099998,1773.739014,0.000000,0.000000,33.265850,33.265854,35.352947,35.342525
1764.354126,33.200001,1769.544189,0.000000,0.000000,33.305206,33.305195,35.332573,35.322254
1670.679443,33.200001,1924.759277,1229.400024,0.016667,40.553986,40.553993,35.367264,35.357018
1624.450562,33.200001,2065.991455,1311.600098,0.050000,46.286243,46.286255,35.439816,35.429638
1592.211914,33.200001,2179.256592,1399.199951,0.083333,50.626507,50.626530,35.540722,35.530613
1516.785767,32.900002,2285.530273,1474.800049,0.116667,55.789959,55.789970,35.675270,35.665226
1398.171875,32.400002,2344.260254,1565.400024,0.150000,61.036983,61.036995,35.843784,35.833809
1272.258545,31.699999,2376.421875,1644.000000,0.183333,65.963097,65.963089,36.043915,36.034004
1176.150879,31.000002,2398.795410,1735.800049,0.216667,69.844933,69.844933,36.268505,36.258659
1056.320313,30.200001,2414.177002,1795.800049,0.250000,74.933266,74.933266,36.525410,36.515633
967.512085,29.500000,2422.567139,1878.599976,0.283333,79.034866,79.034851,36.807865,36.798153
886.611450,28.999998,2429.558838,1964.400146,0.316667,83.388405,83.388382,37.117371,37.107723
816.051270,28.500002,2435.151855,2053.200195,0.350000,87.628731,87.628738,37.452991,37.443409
741.233337,28.000000,2440.745605,2133.600098,0.383333,92.892387,92.892418,37.821358,37.811840
684.055420,27.700001,2440.745605,2219.400146,0.416667,97.507889,97.507904,38.217945,38.208488
633.568359,27.400000,2439.347168,2295.599854,0.450000,102.146858,102.146866,38.642719,38.633327
588.555969,27.199999,2437.948975,2388.000000,0.500000,106.963524,106.963516,39.096676,39.087345
547.801453,27.099998,2433.753906,2313.600098,0.533333,112.521011,112.521011,39.584545,39.575275
531.377930,26.900000,2429.558838,2110.800049,0.566667,115.304405,115.304420,40.087666,40.078457
520.428955,26.799999,2422.567139,2036.399902,0.600000,116.937057,116.937050,40.598289,40.589142
515.562805,26.799999,2421.168701,0.000000,0.000000,137.641296,137.641296,41.563885,41.554829
686.488403,26.799999,2372.227051,0.000000,0.000000,103.983398,103.983376,42.184971,42.176003
802.669250,26.699999,2340.065186,0.000000,0.000000,90.287254,90.287247,42.663593,42.654716
908.509338,26.799999,2313.497070,0.000000,0.000000,80.951324,80.951332,43.044563,43.035774
1007.050110,26.799999,2289.725098,0.000000,0.000000,73.683441,73.683426,43.349426,43.340725
1115.931519,26.799999,2263.156738,0.000000,0.000000,66.754807,66.754807,43.582314,43.573700
1203.523315,26.900000,2243.580078,0.000000,0.000000,61.927994,61.927986,43.764854,43.756329
1285.032349,27.000000,2225.401855,0.000000,0.000000,57.797180,57.797153,43.904480,43.896038
1384.181396,27.000000,2200.231689,0.000000,0.000000,52.920437,52.920429,44.038712,43.985832
1454.133179,27.099998,2180.654785,0.000000,0.000000,49.696785,49.696793,44.095009,44.042656
1529.559570,27.299999,2159.679932,0.000000,0.000000,46.443420,46.443409,44.118378,44.066544
1589.778931,27.400000,2144.298340,0.000000,0.000000,43.917328,43.917332,44.116375,44.065060
1644.523804,27.500000,2126.120117,0.000000,0.000000,41.554043,41.554058,44.090881,44.040073
1691.969238,27.500000,2116.332031,0.000000,0.000000,39.578136,39.578129,44.045979,43.995678
1726.641113,27.700001,2106.542969,0.000000,0.000000,38.023155,38.023159,43.986050,43.936249
1742.456177,27.800001,2098.153320,0.000000,0.000000,37.261086,37.261086,43.919136,43.869831
1751.580444,27.900002,2081.373291,0.000000,0.000000,35.633354,35.633350,43.836689,43.787876
1756.446533,28.100000,2058.999756,0.000000,0.000000,35.965748,35.965748,43.758373,43.710045
1761.312744,28.200001,2032.431274,0.000000,0.000000,35.123962,35.123962,43.672459,43.624611
1763.745972,28.300001,2014.252686,0.000000,0.000000,34.613579,34.613575,43.582321,43.534950
1766.178955,28.400002,1993.277954,0.000000,0.000000,34.011612,34.011597,43.487091,43.440193
1768.003784,28.500002,1969.506104,0.000000,0.000000,33.335556,33.335575,43.386082,43.339649
1769.220337,28.600002,1951.327881,0.000000,0.000000,32.840401,32.840393,43.281151,43.235180
1770.436890,28.799997,1933.149414,0.000000,0.000000,32.434319,32.434322,43.173222,43.127708
1770.436890,28.899998,1914.971069,0.000000,0.000000,31.998154,31.998148,43.062031,43.016968
1770.436890,28.999998,1895.394409,0.000000,0.000000,31.678568,31.678570,42.948761,42.904148
1771.045166,29.099998,1878.614258,0.000000,0.000000,31.405682,31.405674,42.833908,42.789738
1771.653320,29.199999,1863.232544,0.000000,0.000000,31.162584,31.162569,42.717773,42.674046
1769.828613,29.299999,1853.444092,0.000000,0.000000,31.089790,31.089773,42.602074,42.558781
1766.178955,29.400000,1846.452515,0.000000,0.000000,31.115089,31.115099,42.487778,42.444916
1760.704590,29.500000,1847.850952,0.000000,0.000000,31.356567,31.356590,42.377018,42.334583
1754.621826,29.599998,1857.639282,0.000000,0.000000,31.786783,31.786770,42.271645,42.229630
1751.580444,29.699999,1864.630981,0.000000,0.000000,32.093372,32.093376,42.170368,42.128773
1752.796753,29.699999,1870.224121,0.000000,0.000000,32.185833,32.185856,42.071022,42.029839
1752.796753,29.799999,1875.817871,0.000000,0.000000,32.399498,32.399487,41.974789,41.934013
1754.013428,29.900000,1877.215820,0.000000,0.000000,32.500088,32.500084,41.880512,41.840145
1753.405151,30.000000,1880.012573,0.000000,0.000000,32.667191,32.667194,41.788841,41.748871
1754.013428,30.000000,1882.809448,0.000000,0.000000,32.713196,32.713161,41.698536,41.658962
1754.621826,30.100000,1884.207397,0.000000,0.000000,32.826031,32.826012,41.610252,41.571072
1755.229980,30.200001,1885.605835,0.000000,0.000000,32.938839,32.938862,41.523972,41.485180
1755.229980,30.300001,1889.800781,0.000000,0.000000,33.122097,33.122089,41.440369,41.401966
1755.229980,30.300001,1891.199219,0.000000,0.000000,33.151161,33.151161,41.357891,41.319870
1755.838135,30.400002,1889.800781,0.000000,0.000000,33.205696,33.205692,41.276775,41.239132
1755.229980,30.500000,1891.199219,0.000000,0.000000,33.342922,33.342953,41.197834,41.160564
1755.838135,30.500000,1892.597656,0.000000,0.000000,33.359608,33.359592,41.119843,41.082943
1755.838135,30.600000,1893.995972,0.000000,0.000000,33.484409,33.484383,41.043865,41.007336
1755.838135,30.600000,1893.995972,0.000000,0.000000,33.484409,33.484383,40.968651,40.932480
1756.446533,30.700001,1893.995972,0.000000,0.000000,33.567974,33.567974,40.895012,40.859203
1757.054810,30.800001,1893.995972,0.000000,0.000000,33.651573,33.651566,40.822937,40.787487
1757.054810,30.800001,1893.995972,0.000000,0.000000,33.651573,33.651566,40.751583,40.716484
1757.663208,30.900002,1895.394409,0.000000,0.000000,33.764038,33.764042,40.682053,40.647305
1757.663208,30.900002,1895.394409,0.000000,0.000000,33.764038,33.764042,40.613220,40.578815
1757.663208,31.000002,1895.394409,0.000000,0.000000,33.859886,33.859901,40.546021,40.511963
1757.663208,31.000002,1895.394409,0.000000,0.000000,33.859886,33.859901,40.479492,40.445774
1758.879639,31.100002,1895.394409,0.000000,0.000000,33.931355,33.931366,40.414337,40.380955
1759.487793,31.200003,1896.792603,0.000000,0.000000,34.043777,34.043793,40.350952,40.317898
1758.879639,31.200003,1896.792603,0.000000,0.000000,34.055950,34.055965,40.288315,40.255592
1760.096191,31.299997,1896.792603,0.000000,0.000000,34.127480,34.127495,40.227013,40.194618
1760.096191,31.299997,1893.995972,0.000000,0.000000,34.070110,34.070110,40.165752,40.133678
1760.096191,31.399998,1893.995972,0.000000,0.000000,34.166084,34.166054,40.106052,40.074299
1760.704590,31.399998,1893.995972,0.000000,0.000000,34.153923,34.153934,40.017437,40.015388
1760.704590,31.499998,1893.995972,0.000000,0.000000,34.249916,34.249920,39.960049,39.958019
1761.312744,31.499998,1893.995972,0.000000,0.000000,34.237774,34.237766,39.903111,39.901100
1761.921021,31.599998,1892.597656,0.000000,0.000000,34.293072,34.293079,39.847290,39.845299
1761.312744,31.599998,1892.597656,0.000000,0.000000,34.305206,34.305202,39.792145,39.790173
1761.921021,31.699999,1892.597656,0.000000,0.000000,34.389145,34.389141,39.738384,39.736431
1762.529175,31.699999,1892.597656,0.000000,0.000000,34.377029,34.377010,39.685040,39.683105
1762.529175,31.699999,1891.199219,0.000000,0.000000,34.348469,34.348469,39.631939,39.630024
1762.529175,31.799999,1891.199219,0.000000,0.000000,34.444603,34.444630,39.580326,39.578430
1761.921021,31.900000,1889.800781,0.000000,0.000000,34.524349,34.524372,39.530018,39.528141
1762.529175,31.900000,1889.800781,0.000000,0.000000,34.512257,34.512268,39.480091,39.478233
1761.921021,31.900000,1888.402588,0.000000,0.000000,34.495869,34.495865,39.430496,39.428658
1761.921021,32.000000,1889.800781,0.000000,0.000000,34.620510,34.620544,39.382637,39.380817
1761.921021,32.000000,1888.402588,0.000000,0.000000,34.592072,34.592079,39.334969,39.333168
1762.529175,32.000000,1888.402588,0.000000,0.000000,34.579994,34.579990,39.287655,39.285873
1761.921021,32.099998,1885.605835,0.000000,0.000000,34.631454,34.631451,39.241325,39.239563
1762.529175,32.200001,1885.605835,0.000000,0.000000,34.715691,34.715691,39.196297,39.194550
1761.921021,32.200001,1885.605835,0.000000,0.000000,34.727745,34.727726,39.151833,39.150105
1762.529175,32.200001,1884.207397,0.000000,0.000000,34.687309,34.687321,39.107410,39.105698
1763.137573,32.299999,1884.207397,0.000000,0.000000,34.771606,34.771599,39.064266,39.062572
1763.137573,32.299999,1882.809448,0.000000,0.000000,34.743263,34.743252,39.021275,39.019596
