Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
997.925964,13.599999,2738.591309,2456.399902,225.189133,71.463112,71.463135,71.463112,71.463135
999.750916,13.599999,2738.591309,2462.400146,225.222458,71.368172,71.368172,71.462166,71.461258
998.534180,13.599999,2739.989502,2461.199951,225.255783,71.465355,71.465385,71.462227,71.461342
997.925964,13.599999,2738.591309,2458.200195,225.289108,71.461754,71.461761,71.462219,71.461349
999.750916,13.599999,2738.591309,2458.800049,225.322433,71.370872,71.370857,71.460411,71.459557
998.534180,13.599999,2738.591309,2460.000000,225.355759,71.430237,71.430252,71.459816,71.458977
999.750916,13.700000,2739.989502,2457.599854,225.389084,71.493355,71.493347,71.460480,71.459656
1000.359131,13.700000,2739.989502,2460.599854,225.422409,71.460991,71.460991,71.460487,71.459679
999.142456,13.700000,2738.591309,2459.400146,225.455734,71.486107,71.486115,71.460999,71.460205
1000.359131,13.700000,2738.591309,2458.800049,225.489059,71.426323,71.426315,71.460312,71.459534
1000.359131,13.700000,2738.591309,2463.000000,225.522385,71.423172,71.423180,71.459213,71.458817
1001.575562,13.700000,2739.989502,2461.199951,225.555710,71.400406,71.400429,71.458046,71.457657
1000.359131,13.700000,2739.989502,2459.400146,225.589035,71.461891,71.461906,71.458122,71.457741
999.142456,13.700000,2741.387695,2459.400146,225.622360,71.558159,71.558159,71.460106,71.459732
999.142456,13.700000,2739.989502,2456.399902,225.655685,71.524399,71.524414,71.461380,71.461014
1000.967346,13.700000,2741.387695,2461.799805,225.689011,71.466019,71.466003,71.461472,71.461113
1000.359131,13.700000,2739.989502,2459.400146,225.722336,71.461891,71.461906,71.461479,71.461128
999.142456,13.700000,2741.387695,2454.600098,225.755661,71.561783,71.561798,71.463463,71.463120
1000.359131,13.700000,2739.989502,2466.000000,225.788986,71.456940,71.456963,71.463333,71.462997
999.142456,13.700000,2741.387695,2461.799805,225.822311,71.556343,71.556335,71.465179,71.464844
1002.183838,13.700000,2742.786377,2458.200195,225.855637,71.444611,71.444633,71.464767,71.464447
1002.183838,13.700000,2741.387695,2463.600098,225.888962,71.404572,71.404579,71.463577,71.463264
1000.967346,13.700000,2741.387695,2454.600098,225.922287,71.471420,71.471405,71.463730,71.463425
999.142456,13.700000,2742.786377,2462.400146,225.955612,71.591911,71.591934,71.466270,71.465973
1002.183838,13.700000,2742.786377,2461.799805,225.988937,71.441910,71.441925,71.465790,71.465500
1002.183838,13.700000,2745.583008,2458.800049,226.022263,71.516113,71.516129,71.466782,71.466499
1000.359131,13.700000,2744.184326,2461.199951,226.055588,71.568542,71.568520,71.468803,71.468521
1000.967346,13.700000,2744.184326,2460.000000,226.072250,71.539352,71.539352,71.469505,71.469925
999.750916,13.700000,2745.583008,2460.599854,226.105576,71.635117,71.635078,71.472778,71.473198
999.142456,13.700000,2744.184326,2460.000000,226.138901,71.629723,71.629715,71.475891,71.476295
1001.575562,13.700000,2746.980957,2461.199951,226.172226,71.580322,71.580315,71.477959,71.478355
999.142456,13.599999,2748.379639,2460.000000,226.205551,71.652130,71.652115,71.481407,71.481796
999.142456,13.599999,2746.980957,2453.399902,226.238876,71.621162,71.621185,71.484177,71.484558
1000.359131,13.599999,2746.980957,2462.400146,226.272202,71.554047,71.554047,71.485558,71.485931
1000.359131,13.599999,2746.980957,2459.400146,226.305527,71.556320,71.556328,71.486961,71.487328
1002.183838,13.599999,2746.980957,2458.800049,226.338852,71.466545,71.466537,71.486557,71.486916
1002.792175,13.599999,2746.980957,2460.599854,226.372177,71.435165,71.435196,71.485535,71.485893
999.750916,13.599999,2748.379639,2457.599854,226.405502,71.623795,71.623756,71.488274,71.488625
1002.183838,13.599999,2748.379639,2465.399902,226.438828,71.497543,71.497543,71.488457,71.488800
998.534180,13.599999,2748.379639,2467.199951,226.472153,71.676804,71.676804,71.492188,71.492523
1002.792175,13.500000,2748.379639,2461.799805,226.505478,71.384743,71.384750,71.490059,71.490387
