Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
517.995911,-5.700000,2577.782471,5398.800293,60.415916,82.613937,82.613945,82.613937,82.613945
520.428955,-5.800000,2576.384277,5400.000000,60.532581,82.213860,82.213852,82.586884,82.606026
521.037292,-5.900001,2574.985840,5401.199707,60.565914,82.013885,82.013908,82.575539,82.594299
521.645569,-5.900001,2574.985840,5398.800293,60.599247,81.944954,81.944931,82.563057,82.581444
522.862122,-6.000000,2574.985840,5398.200195,60.632580,81.719154,81.719154,82.546341,82.564369
524.078674,-6.000000,2574.985840,5402.399902,60.682579,81.593842,81.593842,82.518196,82.545151
525.295227,-6.200000,2574.985840,5400.000000,60.749245,81.273865,81.273872,82.481415,82.519981
528.336548,-6.500000,2576.384277,5401.799805,60.882576,80.715942,80.715897,82.329468,82.484261
530.769714,-6.500000,2576.384277,5400.000000,60.949242,80.458778,80.458778,82.256119,82.444153
531.377930,-6.599999,2576.384277,5397.000000,60.999241,80.299080,80.299088,82.217361,82.401680
532.594543,-6.599999,2576.384277,5398.800293,61.032574,80.174980,80.174965,82.176918,82.357590
532.594543,-6.700000,2574.985840,5398.800293,61.065907,80.041557,80.041550,82.134636,82.311729
533.811096,-6.700000,2574.985840,5401.799805,61.099239,79.919571,79.919601,82.090775,82.264359
533.202759,-6.800000,2577.782471,5397.600098,61.132572,79.966766,79.966766,82.048721,82.218864
535.635925,-6.900000,2577.782471,5398.800293,61.182571,79.625916,79.625923,81.953720,82.167519
535.635925,-7.000000,2579.180664,5397.000000,61.232571,79.572556,79.572563,81.883347,82.116135
536.852478,-7.199999,2579.180664,5395.799805,61.315903,79.263252,79.263268,81.755562,82.059647
536.852478,-7.300000,2580.579102,5399.399902,61.382568,79.216591,79.216606,81.656006,82.003349
538.069031,-7.400000,2580.579102,5395.799805,61.449234,78.997246,78.997269,81.551758,81.943825
538.069031,-7.500000,2580.579102,5400.000000,61.482567,78.910713,78.910721,81.499458,81.883766
539.285583,-7.500000,2581.977539,5403.000000,61.515900,78.832230,78.832237,81.446648,81.823341
538.677307,-7.600000,2580.579102,5395.799805,61.549232,78.752838,78.752861,81.393303,81.762543
