Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
922.499634,10.900000,2253.368408,3660.000000,41.682869,59.344158,59.344173,59.344158,59.344173
922.499634,11.000000,2251.970215,3660.000000,41.716202,59.390865,59.390846,59.344624,59.345097
923.107971,11.000000,2249.173584,3660.000000,41.749535,59.283451,59.283459,59.343410,59.343876
922.499634,11.000000,2249.173584,3660.000000,41.782867,59.313110,59.313103,59.342812,59.343266
923.107971,11.000000,2249.173584,3658.200195,41.816200,59.283718,59.283730,59.341640,59.342087
921.891418,11.000000,2249.173584,3661.799805,41.849533,59.342514,59.342514,59.341660,59.342094
921.891418,11.000000,2246.376709,3663.600098,41.882866,59.264431,59.264435,59.340130,59.340557
923.716309,11.000000,2247.774902,3661.799805,41.916199,59.214649,59.214645,59.337646,59.338062
921.283203,11.000000,2247.774902,3661.199951,41.949532,59.333389,59.333378,59.337563,59.337971
921.891418,11.000000,2249.173584,3658.200195,41.982864,59.343056,59.343082,59.337669,59.338074
923.107971,11.000000,2247.774902,3661.199951,42.016197,59.244370,59.244370,59.335823,59.336220
922.499634,11.000000,2249.173584,3657.000000,42.049530,59.313560,59.313549,59.335381,59.335770
923.107971,11.000000,2249.173584,3659.400146,42.082863,59.283539,59.283527,59.334354,59.334736
923.107971,11.099999,2249.173584,3658.800049,42.116196,59.369232,59.369255,59.335045,59.335419
920.674927,11.000000,2249.173584,3662.400146,42.149529,59.401840,59.401836,59.336369,59.336735
921.891418,11.000000,2247.774902,3661.799805,42.182861,59.303604,59.303638,59.335720,59.336079
922.499634,11.000000,2249.173584,3661.199951,42.216194,59.312931,59.312935,59.335270,59.335621
922.499634,11.000000,2250.571533,3657.599854,42.249527,59.352345,59.352348,59.335606,59.335953
922.499634,11.000000,2250.571533,3658.800049,42.282860,59.352165,59.352146,59.335934,59.336273
923.107971,11.000000,2249.173584,3660.000000,42.316193,59.283451,59.283459,59.334896,59.335228
923.107971,11.000000,2249.173584,3662.400146,42.349525,59.283092,59.283108,59.333870,59.334194
923.107971,11.000000,2250.571533,3661.799805,42.382858,59.322052,59.322063,59.333633,59.333954
921.283203,11.000000,2251.970215,3657.599854,42.416191,59.450623,59.450600,59.335953,59.336262
923.716309,11.000000,2251.970215,3657.000000,42.449524,59.332005,59.331974,59.335873,59.336178
924.324585,11.000000,2253.368408,3658.800049,42.482857,59.340958,59.340961,59.335976,59.336273
923.107971,11.000000,2253.368408,3658.200195,42.516190,59.400322,59.400352,59.337250,59.337543
922.499634,11.000000,2251.970215,3663.600098,42.549522,59.390320,59.390301,59.338299,59.338589
923.107971,11.000000,2251.970215,3658.200195,42.582855,59.361469,59.361477,59.338757,59.339043
923.716309,11.000000,2250.571533,3661.199951,42.616188,59.292500,59.292522,59.337841,59.338123
923.107971,11.000000,2251.970215,3661.199951,42.649521,59.361015,59.361012,59.338303,59.338577
924.324585,11.000000,2251.970215,3661.199951,42.682854,59.301754,59.301735,59.337578,59.337849
923.716309,11.000000,2253.368408,3661.799805,42.716187,59.370129,59.370132,59.338223,59.338490
922.499634,11.000000,2251.970215,3660.000000,42.749519,59.390865,59.390846,59.339264,59.339527
923.716309,11.000000,2251.970215,3661.799805,42.782852,59.331284,59.331284,59.339108,59.339363
924.324585,11.000000,2251.970215,3660.000000,42.816185,59.301933,59.301907,59.338371,59.338623
922.499634,11.000000,2250.571533,3662.400146,42.849518,59.351624,59.351604,59.338631,59.338879
923.716309,11.000000,2253.368408,3655.800049,42.882851,59.371037,59.371048,59.339275,59.339516
922.499634,10.900000,2254.766846,3661.799805,42.916183,59.382736,59.382725,59.340134,59.340370
921.891418,10.900000,2256.165283,3660.599854,42.949516,59.451450,59.451473,59.342339,59.342571
922.499634,10.900000,2254.766846,3660.599854,42.982849,59.382919,59.382896,59.343143,59.343369
923.107971,10.900000,2257.563477,3658.200195,43.016182,59.431278,59.431293,59.344887,59.345108
923.107971,10.900000,2257.563477,3661.199951,43.066181,59.430813,59.430828,59.346588,59.346806
923.107971,10.900000,2257.563477,3660.000000,43.099514,59.431000,59.431000,59.348259,59.348473
924.324585,10.900000,2260.359863,3662.400146,43.132847,59.448925,59.448929,59.350254,59.350460
922.499634,10.900000,2257.563477,3662.400146,43.166180,59.460304,59.460320,59.352432,59.352634
924.932800,10.900000,2256.165283,3663.000000,43.199512,59.302849,59.302864,59.351452,59.351650
924.324585,11.000000,2257.563477,3658.800049,43.232845,59.457424,59.457432,59.353550,59.353745
923.716309,11.000000,2257.563477,3663.600098,43.266178,59.486324,59.486313,59.356178,59.356369
923.716309,10.900000,2254.766846,3657.000000,43.299511,59.324154,59.324135,59.355545,59.355732
923.716309,10.900000,2254.766846,3663.000000,43.332844,59.323242,59.323246,59.354904,59.355087
923.107971,11.000000,2253.368408,3663.000000,43.366177,59.399593,59.399609,59.355789,59.355968
922.499634,11.000000,2256.165283,3660.000000,43.399509,59.507404,59.507393,59.358791,59.358967
921.891418,10.900000,2253.368408,3663.000000,43.432842,59.373383,59.373421,59.359081,59.359253
921.891418,11.000000,2251.970215,3660.599854,43.466175,59.420456,59.420464,59.360294,59.360466
921.283203,11.000000,2251.970215,3661.199951,43.499508,59.450069,59.450031,59.362072,59.362240
921.283203,11.000000,2251.970215,3661.199951,43.532841,59.450069,59.450031,59.363815,59.363979
923.107971,11.000000,2249.173584,3659.400146,43.566174,59.283539,59.283527,59.362228,59.362385
921.891418,11.000000,2247.774902,3661.799805,43.599506,59.303604,59.303638,59.361065,59.361221
923.107971,11.000000,2247.774902,3660.000000,43.632839,59.244549,59.244545,59.358757,59.358910
921.891418,11.000000,2246.376709,3656.399902,43.666172,59.265503,59.265499,59.356911,59.357059
922.499634,11.000000,2247.774902,3661.199951,43.699505,59.274025,59.274025,59.355270,59.355415
921.283203,11.000000,2247.774902,3661.799805,43.732838,59.333298,59.333279,59.354836,59.354977
920.674927,11.000000,2246.376709,3661.799805,43.766171,59.324100,59.324100,59.354229,59.354366
921.283203,11.000000,2246.376709,3661.199951,43.799503,59.294476,59.294453,59.352463,59.353180
922.499634,11.099999,2246.376709,3660.000000,43.832836,59.320915,59.320911,59.351837,59.352543
921.283203,11.099999,2246.376709,3658.800049,43.866169,59.380463,59.380455,59.352402,59.353096
921.283203,11.099999,2246.376709,3661.799805,43.899502,59.380013,59.379982,59.352951,59.353630
921.891418,11.099999,2247.774902,3656.399902,43.932835,59.390034,59.390049,59.353683,59.354351
921.891418,11.099999,2247.774902,3662.400146,43.966167,59.389130,59.389137,59.354385,59.355042
920.674927,11.099999,2246.376709,3662.400146,43.999500,59.409637,59.409626,59.355480,59.356121
923.716309,11.099999,2246.376709,3659.400146,44.032833,59.261715,59.261688,59.353622,59.354252
921.891418,11.099999,2246.376709,3662.400146,44.066166,59.350231,59.350220,59.353558,59.354172
922.499634,11.099999,2244.978271,3656.399902,44.099499,59.282528,59.282532,59.352150,59.352753
921.891418,11.099999,2246.376709,3658.800049,44.132832,59.350765,59.350765,59.352123,59.352715
920.674927,11.099999,2244.978271,3659.400146,44.166164,59.371159,59.371166,59.352501,59.353081
922.499634,11.099999,2244.978271,3660.599854,44.199497,59.281906,59.281914,59.351101,59.351673
921.891418,11.200000,2247.774902,3657.000000,44.232830,59.475590,59.475594,59.353565,59.354126
920.674927,11.200000,2249.173584,3658.800049,44.266163,59.573658,59.573639,59.357925,59.358471
920.674927,11.099999,2251.970215,3659.400146,44.299496,59.565685,59.565674,59.362038,59.362576
921.891418,11.099999,2250.571533,3661.799805,44.332829,59.466991,59.467007,59.364117,59.364643
920.674927,11.099999,2249.173584,3660.599854,44.366161,59.487732,59.487740,59.366566,59.367081
921.283203,11.099999,2250.571533,3663.000000,44.399494,59.496513,59.496529,59.369137,59.369644
921.283203,11.099999,2251.970215,3661.799805,44.432827,59.535580,59.535561,59.372433,59.372929
921.891418,11.099999,2251.970215,3658.800049,44.466160,59.506329,59.506340,59.375084,59.375572
921.891418,11.099999,2253.368408,3660.000000,44.499493,59.544998,59.545033,59.378448,59.378929
922.499634,11.099999,2253.368408,3655.800049,44.532825,59.515953,59.515953,59.381172,59.381641
922.499634,11.000000,2253.368408,3654.000000,44.566158,59.430641,59.430645,59.382153,59.382610
922.499634,11.000000,2254.766846,3661.799805,44.599491,59.468292,59.468288,59.383858,59.384308
922.499634,11.000000,2253.368408,3658.800049,44.632824,59.429901,59.429905,59.384769,59.385212
923.107971,11.000000,2251.970215,3657.000000,44.666157,59.361652,59.361652,59.384312,59.384747
923.107971,11.000000,2251.970215,3658.200195,44.699490,59.361469,59.361477,59.383858,59.384285
921.283203,11.000000,2250.571533,3658.200195,44.732822,59.411640,59.411648,59.384411,59.384827
922.499634,10.900000,2250.571533,3659.400146,44.766155,59.266502,59.266499,59.382076,59.382484
922.499634,10.900000,2249.173584,3661.799805,44.799488,59.227264,59.227264,59.379009,59.379410
922.499634,10.900000,2249.173584,3660.599854,44.832821,59.227444,59.227413,59.376007,59.376400
922.499634,10.900000,2250.571533,3661.199951,44.866154,59.266232,59.266228,59.373833,59.374218
923.716309,10.900000,2250.571533,3661.199951,44.899487,59.206940,59.206955,59.370529,59.370907
923.716309,10.900000,2253.368408,3659.400146,44.932819,59.284939,59.284950,59.368835,59.369205
923.107971,10.900000,2254.766846,3661.199951,44.966152,59.353161,59.353142,59.368523,59.368889
922.499634,10.900000,2256.165283,3658.200195,44.999485,59.422134,59.422115,59.369587,59.369942
921.891418,10.900000,2256.165283,3658.200195,45.032818,59.451824,59.451820,59.371216,59.371563
920.066589,10.900000,2256.165283,3657.000000,45.066151,59.541237,59.541237,59.374580,59.374924
921.283203,10.900000,2257.563477,3656.399902,45.099483,59.520657,59.520657,59.377472,59.377808
923.716309,10.900000,2256.165283,3660.599854,45.132816,59.362438,59.362431,59.377174,59.377502
922.499634,10.900000,2256.165283,3660.000000,45.166149,59.421856,59.421848,59.378059,59.378380
922.499634,10.900000,2254.766846,3658.800049,45.199482,59.383198,59.383194,59.378162,59.378475
923.716309,10.900000,2253.368408,3663.000000,45.232815,59.284397,59.284412,59.376305,59.376614
922.499634,10.900000,2250.571533,3657.599854,45.266148,59.266773,59.266769,59.374138,59.374439
922.499634,10.900000,2251.970215,3659.400146,45.299480,59.305389,59.305386,59.372776,59.373074
923.107971,10.900000,2249.173584,3655.199951,45.332813,59.198597,59.198597,59.369328,59.369617
923.716309,10.900000,2250.571533,3660.000000,45.366146,59.207115,59.207130,59.366116,59.366402
921.891418,10.900000,2250.571533,3666.000000,45.399479,59.295185,59.295189,59.364708,59.364990
923.107971,10.900000,2251.970215,3660.599854,45.432812,59.275547,59.275524,59.362946,59.363220
921.891418,10.900000,2250.571533,3660.599854,45.466145,59.295998,59.296032,59.361618,59.361889
921.283203,10.900000,2250.571533,3662.400146,45.499477,59.325420,59.325424,59.360901,59.361168
921.283203,10.900000,2251.970215,3659.400146,45.532810,59.364769,59.364742,59.360977,59.361240
921.283203,10.900000,2253.368408,3660.000000,45.566143,59.403545,59.403561,59.361820,59.362080
920.674927,10.900000,2251.970215,3661.199951,45.599476,59.394218,59.394207,59.362461,59.362717
921.283203,10.900000,2251.970215,3661.199951,45.632809,59.364494,59.364471,59.362503,59.362751
921.891418,10.900000,2251.970215,3660.000000,45.666142,59.334976,59.334988,59.361958,59.362202
921.891418,10.900000,2250.571533,3658.800049,45.699474,59.296268,59.296310,59.360657,59.360897
921.891418,10.900000,2247.774902,3660.599854,45.732807,59.218197,59.218208,59.357838,59.358070
921.283203,10.900000,2246.376709,3661.799805,45.766140,59.208790,59.208794,59.354885,59.355114
921.891418,11.000000,2249.173584,3661.799805,45.799473,59.342514,59.342514,59.354641,59.354866
922.499634,11.000000,2250.571533,3659.400146,45.832806,59.352074,59.352077,59.354588,59.354813
921.891418,11.000000,2251.970215,3658.200195,45.866138,59.420822,59.420803,59.355900,59.356121
921.891418,11.000000,2253.368408,3660.000000,45.899471,59.459404,59.459412,59.357952,59.358166
920.674927,11.000000,2251.970215,3658.800049,45.932804,59.480167,59.480152,59.360371,59.360580
922.499634,11.000000,2251.970215,3659.400146,45.966137,59.390953,59.390942,59.360977,59.361183
922.499634,11.099999,2251.970215,3656.399902,45.999470,59.477009,59.476986,59.363274,59.363476
922.499634,11.099999,2251.970215,3660.000000,46.032803,59.476460,59.476444,59.365517,59.365711
923.716309,11.099999,2250.571533,3661.199951,46.066135,59.378090,59.378086,59.365765,59.365955
921.891418,11.099999,2250.571533,3658.200195,46.099468,59.467541,59.467575,59.367779,59.367966
923.107971,11.099999,2250.571533,3661.799805,46.132801,59.407646,59.407661,59.368568,59.368752
923.107971,11.099999,2251.970215,3660.000000,46.182800,59.446785,59.446789,59.370117,59.370296
924.324585,11.099999,2253.368408,3657.000000,46.216133,59.426804,59.426815,59.371239,59.371414
923.107971,11.099999,2253.368408,3658.200195,46.249466,59.485905,59.485939,59.373512,59.373680
924.324585,11.099999,2254.766846,3660.599854,46.282799,59.465092,59.465073,59.375324,59.375488
921.283203,11.099999,2251.970215,3659.400146,46.316132,59.535950,59.535934,59.378506,59.378666
922.499634,11.099999,2250.571533,3657.599854,46.349464,59.437946,59.437962,59.379681,59.379841
