,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,T_dis_es,T_dis_delay,T_diff
2023-03-28 09:01:59.798,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.299997329711914,2.7590603828430176,0,0,1,0,0,0.0,0.0,0,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.0017043805458,-0.2982929491661146
2023-03-28 09:02:01.092,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.599998474121094,2.7590603828430176,0,0,1,0,0,0.0,0.0,1,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.0017043805458,-0.5982940935752943
2023-03-28 09:02:03.086,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.39999771118164,2.7590603828430176,0,0,1,0,0,0.0,0.0,3,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.0017043805458,-0.39829333063584116
2023-03-28 09:02:05.108,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.299997329711914,2.7590603828430176,0,0,1,0,0,0.0,0.0,5,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.0017043805458,-0.2982929491661146
2023-03-28 09:02:07.109,1576.57353515625,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,1,0,0,0.0,0.0,7,2,-0.0022823862999999996,0.0022823862999999996,26.032087478530798,26.002006697421965,-0.49799139522940195
2023-03-28 09:02:09.124,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,1,0,0,0.0,0.0,9,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.002003689318787,-0.49799440333258005
2023-03-28 09:02:11.126,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,1,0,0,0.0,0.0,11,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.002000711146735,-0.49799738150463213
2023-03-28 09:02:13.137,1573.7770263671875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,10,1,0,0.0,0.0,13,2,-0.0022823862999999996,0.0022823862999999996,25.97131434325594,26.001695376684587,-0.4983027159667799
2023-03-28 09:02:15.147,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,10,3,0,0.0,0.0,15,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.001695466274505,-0.4983026263768622
2023-03-28 09:02:17.158,1573.7770263671875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.39999771118164,2.7590603828430176,0,0,10,5,0,0.0,0.0,17,2,-0.0022823862999999996,0.0022823862999999996,25.97131434325594,26.00139316904958,-0.398604542132059
2023-03-28 09:02:19.170,1575.175341796875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,10,5,0,0.0,0.0,19,2,-0.0022823862999999996,0.0022823862999999996,26.0017043805458,26.001396265655707,-0.49860182699566025
2023-03-28 09:02:21.171,1573.7770263671875,1583.6962158203125,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.773289203643799,0,0,10,5,0,0.0,0.0,21,2,-0.0022823862999999996,0.0022823862999999996,25.9845639186782,26.00122878100489,-0.49876931164647687
2023-03-28 09:02:23.191,1573.7770263671875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.39999771118164,2.7590603828430176,0,0,10,5,0,0.0,0.0,23,2,-0.0022823862999999996,0.0022823862999999996,25.97131434325594,26.00093112737599,-0.3990665838056522
2023-03-28 09:02:25.209,1575.175341796875,1583.6962158203125,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.773289203643799,0,0,10,5,0,0.0,0.0,25,2,-0.0022823862999999996,0.0022823862999999996,26.014947571420272,26.001070593324474,-0.49892749932689284
2023-03-28 09:02:27.210,1573.7770263671875,1584.3043701171875,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.7590603828430176,0,0,10,5,0,0.0,0.0,27,2,-0.0022823862999999996,0.0022823862999999996,25.97131434325594,26.00077451368929,-0.49922357896207714
2023-03-28 09:02:29.225,1573.7770263671875,1583.6962158203125,0.0,26.200002670288086,3600,0.8,26.499998092651367,2.773289203643799,0,0,10,5,0,0.0,0.0,29,2,-0.0022823862999999996,0.0022823862999999996,25.9845639186782,26.000613215573903,-0.49938487707746404
