,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,T_dis_es,T_dis_delay,T_diff
2023-04-04 21:47:25.868,2253.36845703125,922.4996215820313,3660.0,10.899999618530273,3600,0.8,59.10000228881836,6.268946170806885,39,399,3,0,0,8.39771842956543,41.68286895751953,0,1,0.13500484589999998,8.26271358366543,59.344158576447434,59.344158576447434,0.2441562876290746
2023-04-04 21:47:27.233,2251.970263671875,922.4996215820313,3660.0,11.0,3600,0.8,59.30000305175781,6.368946552276611,39,398,3,0,0,8.39771842956543,41.71620178222656,1,1,0.1346607829,8.26305764666543,59.39086373352411,59.34462330052512,0.04462024876730908
2023-04-04 21:47:29.245,2249.1736328125,923.107958984375,3660.0,11.0,3600,0.8,59.30000305175781,6.347509860992432,39,400,3,0,0,8.39771842956543,41.749534606933594,3,1,0.13534489369999997,8.26237353586543,59.28345068088336,59.34341200149891,0.043408949741099434
2023-04-04 21:47:31.257,2249.1736328125,922.4996215820313,3660.0,11.0,3600,0.8,59.19999694824219,6.368946552276611,38,398,3,0,0,8.380011558532715,41.782867431640625,5,1,0.1346607829,8.245350775632716,59.31310978930138,59.34281197749566,0.14281502925346956
2023-04-04 21:47:33.256,2249.1736328125,923.107958984375,3658.2000732421875,11.0,3600,0.8,59.19999694824219,6.347509860992432,38,399,3,0,0,8.388864517211914,41.816200256347656,7,1,0.13500484589999998,8.253859671311915,59.28371963594837,59.34164187073561,0.14164492249341976
2023-04-04 21:47:35.258,2249.1736328125,921.89140625,3661.7999267578125,11.0,3600,0.8,59.39999771118164,6.390378952026367,38,398,3,0,0,8.380011558532715,41.84953308105469,9,1,0.1346607829,8.245350775632716,59.342514122419445,59.34165914247616,-0.05833856870548004
2023-04-04 21:47:37.276,2246.3767578125,921.89140625,3663.600082397461,11.0,3600,0.8,59.30000305175781,6.390378952026367,38,400,3,0,0,8.380011558532715,41.88286590576172,11,1,0.13534489369999997,8.244666664832716,59.26443213034909,59.34012994517949,0.040126893421678744
2023-04-04 21:47:39.275,2247.774951171875,923.7162963867188,3661.7999267578125,11.0,3600,0.8,59.30000305175781,6.32607364654541,38,399,3,0,0,8.39771842956543,41.91619873046875,13,1,0.13500484589999998,8.26271358366543,59.21465103455975,59.337645296277195,0.03764224451938247
2023-04-04 21:47:41.286,2247.774951171875,921.2831909179688,3661.2000274658203,11.0,3600,0.8,59.19999694824219,6.411808967590332,39,399,3,0,0,8.39771842956543,41.94953155517578,15,1,0.13500484589999998,8.26271358366543,59.33338798798494,59.33756099592487,0.13756404768268027
2023-04-04 21:47:43.287,2249.1736328125,921.89140625,3658.2000732421875,11.0,3600,0.8,59.30000305175781,6.390378952026367,39,398,3,0,0,8.380011558532715,41.98286437988281,17,1,0.1346607829,8.245350775632716,59.343057408465846,59.337669832185234,0.037666780427422
2023-04-04 21:47:45.308,2247.774951171875,923.107958984375,3661.2000274658203,11.0,3600,0.8,59.30000305175781,6.347509860992432,39,399,3,0,0,8.380011558532715,42.016197204589844,19,1,0.13500484589999998,8.245006712632716,59.24437096500618,59.335822390836114,0.03581933907830148
2023-04-04 21:47:47.326,2249.1736328125,922.4996215820313,3657.000045776367,11.0,3600,0.8,59.30000305175781,6.368946552276611,39,399,3,0,0,8.388864517211914,42.049530029296875,21,1,0.13500484589999998,8.253859671311915,59.31356151559602,59.335381595973004,0.03537854421519171
2023-04-04 21:47:49.327,2249.1736328125,923.107958984375,3659.400100708008,11.0,3600,0.8,59.30000305175781,6.347509860992432,39,399,3,0,0,8.406571388244629,42.082862854003906,23,1,0.13500484589999998,8.27156654234463,59.28354018232874,59.334355067205195,0.0343520154473822
2023-04-04 21:47:51.339,2249.1736328125,923.107958984375,3658.7999725341797,11.09999942779541,3600,0.8,59.30000305175781,6.447510242462158,38,399,3,0,0,8.388864517211914,42.11619567871094,25,1,0.13500484589999998,8.253859671311915,59.369230816718016,59.33504565331497,0.03504260155715855
2023-04-04 21:47:53.359,2249.1736328125,920.6749145507813,3662.4000549316406,11.0,3600,0.8,59.30000305175781,6.433243274688721,38,399,3,0,0,8.406571388244629,42.14952850341797,27,1,0.13500484589999998,8.27156654234463,59.401840072778676,59.33636827143606,0.03636521967824535
2023-04-04 21:47:55.362,2247.774951171875,921.89140625,3661.7999267578125,11.0,3600,0.8,59.30000305175781,6.390378952026367,39,400,3,0,0,8.380011558532715,42.182861328125,29,1,0.13534489369999997,8.244666664832716,59.30360581699477,59.33571953137239,0.035716479614578134
2023-04-04 21:47:57.374,2249.1736328125,922.4996215820313,3661.2000274658203,11.0,3600,0.8,59.30000305175781,6.368946552276611,39,399,3,0,0,8.39771842956543,42.21619415283203,31,1,0.13500484589999998,8.26271358366543,59.312930065913285,59.335268269721674,0.03526521796386106
2023-04-04 21:47:59.393,2250.57158203125,922.4996215820313,3657.5999450683594,11.0,3600,0.8,59.30000305175781,6.368946552276611,39,399,3,0,0,8.380011558532715,42.24952697753906,33,1,0.13500484589999998,8.245006712632716,59.352346367174505,59.33560643870864,0.03560338695082521
2023-04-04 21:48:01.394,2250.57158203125,922.4996215820313,3658.7999725341797,11.0,3600,0.8,59.30000305175781,6.368946552276611,39,399,3,0,0,8.39771842956543,42.282859802246094,35,1,0.13500484589999998,8.26271358366543,59.35216435865548,59.33593430749087,0.035931255733054
2023-04-04 21:48:03.407,2249.1736328125,923.107958984375,3660.0,11.0,3600,0.8,59.30000305175781,6.347509860992432,39,399,3,0,0,8.39771842956543,42.316192626953125,37,1,0.13500484589999998,8.26271358366543,59.28345068088336,59.334895062054365,0.0348920102965522
2023-04-04 21:48:05.428,2249.1736328125,923.107958984375,3662.4000549316406,11.0,3600,0.8,59.30000305175781,6.347509860992432,38,400,3,0,0,8.39771842956543,42.349525451660156,39,1,0.13534489369999997,8.26237353586543,59.283093996408155,59.33386933223045,0.033866280472636845
2023-04-04 21:48:07.424,2250.57158203125,923.107958984375,3661.7999267578125,11.0,3600,0.8,59.30000305175781,6.347509860992432,38,398,3,0,0,8.388864517211914,42.38285827636719,41,1,0.1346607829,8.254203734311915,59.322050446487374,59.3336353026127,0.03363225085488608
2023-04-04 21:48:09.445,2251.970263671875,921.2831909179688,3657.5999450683594,11.0,3600,0.8,59.30000305175781,6.411808967590332,38,399,3,0,0,8.415425300598145,42.41619110107422,43,1,0.13500484589999998,8.280420454698145,59.45062256199061,59.335951805554586,0.03594875379677376
2023-04-04 21:48:11.446,2251.970263671875,923.7162963867188,3657.000045776367,11.0,3600,0.8,59.30000305175781,6.32607364654541,39,400,3,0,0,8.380011558532715,42.44952392578125,45,1,0.13534489369999997,8.244666664832716,59.332004158869076,59.3358736369129,0.03587058515508801
2023-04-04 21:48:13.456,2253.36845703125,924.3245727539063,3658.7999725341797,11.0,3600,0.8,59.30000305175781,6.3046393394470215,39,398,3,0,0,8.406571388244629,42.48285675048828,47,1,0.1346607829,8.27191060534463,59.34095588640946,59.33597427219552,0.03597122043770895
2023-04-04 21:48:15.456,2253.36845703125,923.107958984375,3658.2000732421875,11.0,3600,0.8,59.30000305175781,6.347509860992432,38,399,3,0,0,8.39771842956543,42.51618957519531,49,1,0.13500484589999998,8.26271358366543,59.40032176655858,59.3372484379533,0.037245386195486674
2023-04-04 21:48:17.476,2251.970263671875,922.4996215820313,3663.600082397461,11.0,3600,0.8,59.30000305175781,6.368946552276611,38,399,3,0,0,8.39771842956543,42.549522399902344,51,1,0.13500484589999998,8.26271358366543,59.390319218988,59.33829930982643,0.03829625806861969
2023-04-04 21:48:19.496,2251.970263671875,923.107958984375,3658.2000732421875,11.0,3600,0.8,59.30000305175781,6.347509860992432,38,399,3,0,0,8.415425300598145,42.582855224609375,53,1,0.13500484589999998,8.280420454698145,59.36146929934135,59.3387581063583,0.038755054600486005
2023-04-04 21:48:21.496,2250.57158203125,923.7162963867188,3661.2000274658203,11.0,3600,0.8,59.30000305175781,6.32607364654541,39,399,3,0,0,8.388864517211914,42.616188049316406,55,1,0.13500484589999998,8.253859671311915,59.29250037328029,59.33784214187353,0.03783909011571751
2023-04-04 21:48:23.508,2251.970263671875,923.107958984375,3661.2000274658203,11.0,3600,0.8,59.30000305175781,6.347509860992432,39,398,3,0,0,8.42427921295166,42.64952087402344,57,1,0.1346607829,8.28961843005166,59.3610158734998,59.33830101250416,0.03829796074634828
2023-04-04 21:48:25.514,2251.970263671875,924.3245727539063,3661.2000274658203,11.0,3600,0.8,59.19999694824219,6.3046393394470215,38,399,3,0,0,8.406571388244629,42.68285369873047,59,1,0.13500484589999998,8.27156654234463,59.30175370335813,59.337577327296,0.1375803790538157
2023-04-04 21:48:27.528,2253.36845703125,923.7162963867188,3661.7999267578125,11.0,3600,0.8,59.30000305175781,6.32607364654541,38,399,3,0,0,8.39771842956543,42.7161865234375,61,1,0.13500484589999998,8.26271358366543,59.37012761656721,59.338221866207824,0.03821881445001196
2023-04-04 21:48:29.539,2251.970263671875,922.4996215820313,3660.0,11.0,3600,0.8,59.30000305175781,6.368946552276611,38,398,3,0,0,8.39771842956543,42.74951934814453,63,1,0.1346607829,8.26305764666543,59.39086373352411,59.339264245020296,0.03926119326248312
2023-04-04 21:48:31.546,2251.970263671875,923.7162963867188,3661.7999267578125,11.0,3600,0.8,59.30000305175781,6.32607364654541,38,398,3,0,0,8.39771842956543,42.78285217285156,65,1,0.1346607829,8.26305764666543,59.331282542758764,59.33910619672625,0.039103144968436254
2023-04-04 21:48:33.557,2251.970263671875,924.3245727539063,3660.0,11.0,3600,0.8,59.30000305175781,6.3046393394470215,38,400,3,0,0,8.39771842956543,42.816184997558594,67,1,0.13534489369999997,8.26237353586543,59.30193245891221,59.338370107399385,0.03836705564157228
2023-04-04 21:48:35.565,2250.57158203125,922.4996215820313,3662.4000549316406,11.0,3600,0.8,59.30000305175781,6.368946552276611,38,398,3,0,0,8.388864517211914,42.849517822265625,69,1,0.1346607829,8.254203734311915,59.35162167813547,59.33863250608073,0.038629454322915535
2023-04-04 21:48:37.578,2253.36845703125,923.7162963867188,3655.800018310547,11.0,3600,0.8,59.30000305175781,6.32607364654541,38,397,3,0,0,8.406571388244629,42.882850646972656,71,1,0.1343126839,8.27225870434463,59.37103687940966,59.339274155663304,0.0392711039054916
2023-04-04 21:48:39.597,2254.76689453125,922.4996215820313,3661.7999267578125,10.899999618530273,3600,0.8,59.30000305175781,6.268946170806885,38,399,3,0,0,8.406571388244629,42.91618347167969,73,1,0.13500484589999998,8.27156654234463,59.382736856725515,59.34013477480601,0.0401317230481979
2023-04-04 21:48:41.598,2256.16533203125,921.89140625,3660.599899291992,10.899999618530273,3600,0.8,59.10000228881836,6.290378570556641,38,400,3,0,0,8.406571388244629,42.94951629638672,75,1,0.13534489369999997,8.27122649454463,59.45145167894233,59.34233899719129,0.24233670837293175
2023-04-04 21:48:43.610,2254.76689453125,922.4996215820313,3660.599899291992,10.899999618530273,3600,0.8,59.30000305175781,6.268946170806885,38,400,3,0,0,8.406571388244629,42.98284912109375,77,1,0.13534489369999997,8.27122649454463,59.38292075741877,59.34314256988334,0.0431395181255283
2023-04-04 21:48:45.611,2257.563525390625,923.107958984375,3658.2000732421875,10.899999618530273,3600,0.8,59.19999694824219,6.247509956359863,38,399,3,0,0,8.406571388244629,43.01618194580078,79,1,0.13500484589999998,8.27156654234463,59.431278051079865,59.34488776933978,0.1448908210975901
2023-04-04 21:48:47.629,2257.563525390625,923.107958984375,3661.2000274658203,10.899999618530273,3600,0.8,59.30000305175781,6.247509956359863,38,400,3,0,0,8.406571388244629,43.06618118286133,81,1,0.13534489369999997,8.27122649454463,59.43081350266386,59.346589212856685,0.04658616109887248
2023-04-04 21:48:49.649,2257.563525390625,923.107958984375,3660.0,10.899999618530273,3600,0.8,59.30000305175781,6.247509956359863,38,401,3,0,0,8.415425300598145,43.09951400756836,83,1,0.1356889567,8.279736343898145,59.43099890909301,59.34826063682794,0.04825758507012523
2023-04-04 21:48:51.662,2260.359912109375,924.3245727539063,3662.4000549316406,10.899999618530273,3600,0.8,59.30000305175781,6.204638957977295,38,401,3,0,0,8.42427921295166,43.13284683227539,85,1,0.1356889567,8.288590256251661,59.448925455474736,59.35025393378848,0.0502508820306673
2023-04-04 21:48:53.664,2257.563525390625,922.4996215820313,3662.4000549316406,10.899999618530273,3600,0.8,59.39999771118164,6.268946170806885,38,400,3,0,0,8.42427921295166,43.16617965698242,87,1,0.13534489369999997,8.288934319251661,59.46030443642172,59.352433079743875,-0.04756463143776557
2023-04-04 21:48:55.683,2256.16533203125,924.9327880859375,3662.999954223633,10.899999618530273,3600,0.8,59.30000305175781,6.18320894241333,38,401,3,0,0,8.415425300598145,43.19951248168945,89,1,0.1356889567,8.279736343898145,59.30284865836158,59.35145124241719,0.05144819065937867
